CustomerID,Age,Gender,AnnualIncome,TotalPurchases,AvgTransactionValue,VisitsPerMonth,OnlineUser,MembershipLevel,Churned
10055,19,Male,2194039,38,13584.57,17,0,Silver,0
10056,37,Other,1931041,10,14094.07,16,1,Platinum,0
10057,45,Female,1952289,16,26262.45,16,1,Gold,1
10058,64,Male,2118796,11,21708.83,19,1,Silver,1
10059,24,Other,726925,32,32511.36,16,0,Gold,0
10060,61,Other,956547,45,18405.25,14,0,Bronze,0
10061,25,Female,806752,6,11758.37,14,0,Gold,0
10062,64,Female,1539462,24,23649.49,14,0,Platinum,1
10063,52,Male,2410920,33,28179.54,14,0,Platinum,0
10064,31,Female,2123378,12,7387.22,12,1,Bronze,1
10065,34,Other,1164266,27,27968.92,6,1,Bronze,0
10066,53,Other,829112,38,16167.06,13,1,Silver,0
10067,67,Female,1216462,18,19804.86,16,0,Platinum,0
10068,57,Female,1337317,45,14182.11,9,1,Platinum,1
10069,21,Female,1565764,39,46591.09,2,0,Silver,0
10070,19,Female,2366354,13,34261.81,3,0,Platinum,1
10071,23,Male,499189,40,13344.28,10,1,Silver,0
10072,59,Female,1759049,30,32358.06,2,1,Platinum,1
10073,21,Male,2142517,49,42474.05,10,0,Gold,0
10074,46,Other,2454851,41,20261.02,8,0,Gold,1
10075,35,Female,1055953,13,41548.89,17,1,Silver,0
10076,43,Male,704655,34,7974.42,1,0,Silver,1
10077,61,Female,436824,36,41192.23,6,0,Bronze,1
10078,51,Other,1267979,30,27152.62,7,0,Platinum,0
10079,27,Other,553699,25,11381.83,15,1,Gold,1
10080,53,Other,1888124,2,20534.93,18,0,Bronze,1
10081,31,Female,2006242,36,49403.25,9,0,Platinum,0
10082,48,Female,293246,18,39242.73,8,0,Gold,1
10083,65,Male,1344440,5,28881.79,10,0,Platinum,0
10084,32,Other,408886,19,6023.65,4,0,Silver,0
10085,25,Female,1629608,42,21065.24,8,0,Gold,1
10086,31,Other,1414413,18,13373.66,1,0,Gold,1
10087,40,Other,1060931,32,3828.75,8,1,Bronze,1
10088,57,Male,2484798,21,27247.56,12,1,Platinum,1
10089,38,Male,1220332,10,44492.53,15,1,Silver,1
10090,33,Male,1732337,37,33877.31,13,0,Silver,0
10091,62,Male,983566,49,12709.12,16,1,Platinum,0
10092,35,Other,2267791,22,28807.15,18,1,Platinum,1
10093,64,Male,735620,13,47178.74,1,0,Silver,1
10094,41,Male,979105,17,36228.88,17,1,Platinum,1
10095,43,Male,1116992,9,34566.85,16,0,Bronze,1
10096,42,Male,420326,24,48417.46,5,0,Platinum,1
10097,62,Other,1510425,44,40004.0,10,0,Bronze,0
10098,58,Male,519248,14,7090.19,6,1,Bronze,0
10099,46,Other,1646743,46,17577.46,12,0,Platinum,0
10100,32,Female,1486050,8,48267.49,10,1,Gold,1
10101,62,Other,490477,37,24638.36,17,0,Gold,1
10102,18,Other,1100853,19,5848.38,2,0,Bronze,1
10103,42,Male,1813734,28,23092.66,19,1,Platinum,0
10104,24,Female,453017,46,34940.56,6,0,Bronze,0
10105,26,Female,851824,41,49878.15,13,1,Platinum,0
10106,41,Female,533245,30,16398.09,9,0,Platinum,0
10107,18,Female,1872341,7,25850.12,12,0,Silver,1
10108,61,Other,1636803,26,44020.13,18,0,Gold,1
10109,25,Female,574842,40,17956.78,8,0,Gold,1
10110,41,Other,1642627,46,5730.3,18,0,Silver,1
10111,28,Other,2420929,46,47462.11,2,0,Silver,1
10112,68,Other,1850224,11,24575.51,8,0,Silver,1
10113,34,Female,1548055,14,25288.35,10,0,Bronze,0
10114,25,Male,1055783,21,31173.65,9,1,Bronze,1
10115,52,Male,1101366,8,475.77,18,1,Bronze,1
10116,52,Female,2430653,3,46577.22,8,1,Bronze,1
10117,50,Male,1552670,28,18264.12,19,0,Bronze,1
10118,22,Male,784942,29,20027.51,3,1,Gold,1
10119,59,Other,569566,23,8953.23,9,1,Gold,1
10120,56,Other,1620654,18,19094.14,13,0,Platinum,1
10121,58,Female,2417127,35,40255.99,9,1,Gold,1
10122,45,Female,923503,13,40059.59,12,0,Silver,0
10123,24,Male,1875190,12,46809.1,13,1,Gold,0
10124,26,Other,548848,47,20340.5,8,1,Silver,0
10125,25,Female,2197179,5,35523.46,15,1,Gold,1
10126,29,Female,1681177,39,25509.71,13,1,Bronze,0
10127,51,Female,366991,11,40259.93,13,1,Gold,1
10128,50,Female,296952,11,35713.34,17,0,Platinum,0
10129,65,Female,665806,47,18584.78,15,1,Bronze,0
10130,40,Female,1076058,42,17032.69,19,0,Bronze,1
10131,41,Male,1919759,47,12846.39,3,1,Platinum,1
10132,54,Other,2343167,31,28952.83,14,0,Gold,1
10133,52,Other,302877,31,48202.99,10,1,Gold,1
10134,61,Female,1526059,13,10243.32,17,1,Platinum,0
10135,57,Other,593922,14,5034.05,8,1,Bronze,0
10136,39,Other,1124501,49,6234.21,18,1,Platinum,1
10137,44,Other,1745329,45,39220.0,12,1,Silver,0
10138,52,Female,591670,42,17700.21,17,0,Silver,0
10139,18,Female,631739,25,11451.03,11,1,Gold,0
10140,52,Other,1894512,33,17836.35,9,1,Bronze,1
10141,54,Other,811796,33,32372.94,15,0,Silver,1
10142,64,Female,939127,15,27475.32,9,1,Platinum,1
10143,31,Male,1550339,16,37256.39,12,1,Gold,0
10144,20,Other,240633,44,17151.99,11,1,Gold,1
10145,18,Male,1457302,38,22765.82,17,1,Bronze,1
10146,22,Other,1251893,6,5367.83,6,1,Silver,0
10147,43,Male,507124,44,3931.01,8,0,Gold,1
10148,31,Male,2078166,25,23274.09,10,1,Platinum,1
10149,56,Male,911323,15,15289.35,15,0,Silver,1
10150,44,Female,1616084,4,30756.19,4,1,Gold,0
10151,26,Male,2072204,4,2437.21,18,1,Gold,1
10152,32,Male,2100946,30,6351.79,11,0,Silver,0
10153,32,Male,1126109,34,43299.98,9,1,Silver,0
10154,43,Other,1460945,27,28445.69,9,1,Bronze,0
10155,59,Male,908669,31,35689.11,8,0,Platinum,0
10156,30,Other,2324195,32,42146.01,3,1,Bronze,0
10157,68,Male,233635,44,23352.57,18,1,Bronze,0
10158,49,Male,1206891,39,38124.7,14,0,Platinum,1
10159,56,Female,927467,9,26371.9,3,0,Platinum,1
10160,66,Other,655796,41,11370.61,17,1,Bronze,0
10161,69,Male,2223969,8,17081.51,4,1,Silver,0
10162,49,Other,1197057,14,24670.42,18,1,Platinum,1
10163,21,Other,1287812,33,16049.21,15,0,Bronze,1
10164,47,Female,1514870,23,16975.73,19,0,Silver,1
10165,54,Female,754280,21,17068.42,6,1,Gold,0
10166,40,Female,2145548,12,6405.15,15,1,Silver,0
10167,56,Female,2412292,2,4506.74,7,1,Bronze,1
10168,62,Female,375993,13,2610.85,12,0,Platinum,0
10169,32,Female,1894089,4,5814.53,16,0,Silver,0
10170,60,Female,1584410,20,17382.24,9,0,Silver,0
10171,46,Female,1544955,48,29815.43,5,1,Silver,0
10172,53,Male,1791986,14,9650.9,11,1,Platinum,1
10173,30,Other,486100,30,44434.04,2,1,Platinum,0
10174,49,Female,263879,29,40476.61,16,0,Silver,0
10175,24,Female,2248880,8,26170.2,4,1,Silver,0
10176,68,Other,924045,12,36293.23,5,0,Bronze,0
10177,39,Male,1245533,41,18506.53,7,1,Platinum,1
10178,45,Other,1485844,38,2127.86,6,0,Silver,0
10179,19,Other,679280,26,45245.34,10,1,Platinum,0
10180,59,Female,1756232,2,6651.34,14,1,Platinum,1
10181,62,Other,987600,40,47412.49,8,0,Platinum,0
10182,23,Other,507268,14,28722.56,14,1,Bronze,0
10183,45,Female,1563517,6,15486.48,14,0,Gold,0
10184,45,Female,1685619,42,24927.57,3,1,Platinum,0
10185,61,Female,2038524,40,25231.0,1,1,Platinum,1
10186,61,Female,1399399,31,1457.37,9,1,Silver,1
10187,37,Other,322026,17,17966.35,9,0,Platinum,1
10188,47,Other,1127890,25,37071.33,2,1,Gold,0
10189,28,Male,1481507,32,25650.44,16,0,Platinum,0
10190,45,Male,1968753,12,12438.24,8,1,Bronze,1
10191,42,Other,935053,49,16954.96,6,1,Silver,1
10192,56,Male,762167,13,43193.8,13,0,Gold,0
10193,50,Other,511741,19,26419.82,1,1,Bronze,0
10194,18,Male,1156636,44,26559.1,19,1,Gold,0
10195,44,Female,203626,48,48084.93,15,0,Silver,0
10196,69,Male,1858800,25,16247.81,1,0,Platinum,0
10197,30,Female,1743971,31,24133.19,10,1,Silver,0
10198,58,Female,2007737,37,40642.17,1,0,Silver,0
10199,20,Female,1827008,25,38017.94,12,0,Platinum,0
10200,56,Female,344454,16,13510.23,11,1,Bronze,0
10201,23,Male,636442,38,7809.23,17,0,Gold,0
10202,25,Other,454043,43,35125.02,4,0,Bronze,1
10203,44,Female,843198,49,13105.51,7,1,Platinum,0
10204,26,Male,820343,23,46156.99,12,0,Gold,0
10205,54,Female,1636909,14,6723.61,13,0,Platinum,0
10206,50,Male,930070,6,16120.27,5,1,Bronze,1
10207,68,Male,2045733,25,3022.93,6,1,Silver,0
10208,59,Male,1806325,23,35254.27,2,0,Gold,1
10209,61,Other,310084,43,44595.75,7,1,Platinum,0
10210,41,Male,1214391,12,31902.96,14,0,Gold,1
10211,32,Male,673006,13,46906.32,14,0,Gold,1
10212,49,Other,1590277,36,6686.65,10,0,Bronze,0
10213,49,Other,1932626,39,4660.38,4,0,Silver,1
10214,41,Male,273568,34,41969.11,3,1,Gold,1
10215,58,Other,1397442,6,42818.91,14,1,Bronze,0
10216,69,Female,1399529,38,41602.66,6,0,Gold,0
10217,66,Female,1990228,40,40008.56,15,1,Silver,0
10218,66,Other,1429351,8,18302.75,8,0,Gold,0
10219,69,Other,1161858,8,11107.87,5,0,Silver,0
10220,29,Male,2388440,40,46461.56,3,1,Bronze,0
10221,56,Other,671678,33,15557.91,3,1,Bronze,1
10222,19,Male,1629740,34,20100.86,13,0,Silver,1
10223,20,Female,2022700,44,35068.08,2,1,Silver,0
10224,66,Other,214390,15,14879.8,1,0,Bronze,0
10225,54,Male,697619,36,41010.77,12,1,Silver,0
10226,66,Male,418547,35,3780.72,8,1,Silver,0
10227,34,Female,751595,46,39621.78,19,0,Platinum,1
10228,66,Other,427436,22,30212.01,9,1,Gold,1
10229,19,Female,2284820,23,28777.78,14,1,Bronze,0
10230,19,Male,1795350,40,23081.34,18,0,Bronze,1
10231,45,Male,1622533,45,14069.17,10,0,Platinum,1
10232,40,Other,2401072,22,23364.29,9,0,Silver,0
10233,54,Male,1985430,5,22666.42,6,0,Silver,0
10234,49,Other,1218056,31,29312.58,1,0,Silver,1
10235,50,Female,1593488,13,14294.24,5,0,Bronze,0
10236,18,Other,1128252,28,4156.5,10,1,Platinum,0
10237,36,Other,787073,20,7510.95,13,0,Gold,0
10238,19,Male,800338,33,35049.12,4,0,Platinum,1
10239,61,Male,747026,16,1417.87,1,0,Bronze,1
10240,43,Other,274231,29,42865.22,2,1,Gold,1
10241,49,Male,2370758,23,34811.55,4,0,Silver,1
10242,23,Male,1552382,24,38473.9,17,0,Platinum,0
10243,49,Male,2050131,34,41848.43,10,1,Platinum,0
10244,21,Other,693896,7,6398.71,12,1,Bronze,1
10245,28,Male,2453840,38,41175.82,2,0,Platinum,1
10246,34,Other,2459555,37,25380.73,3,1,Gold,0
10247,55,Male,1280132,4,44310.53,14,1,Platinum,1
10248,41,Female,1507046,34,44363.35,15,0,Bronze,1
10249,22,Male,1925812,42,1501.65,13,0,Platinum,1
10250,69,Male,776250,22,19328.4,9,0,Gold,1
10251,51,Other,1862918,5,26462.02,2,1,Gold,1
10252,23,Other,717200,42,34014.5,19,0,Bronze,1
10253,39,Male,1796963,23,14523.46,16,1,Silver,1
10254,28,Female,1484519,15,12831.47,11,0,Bronze,0
10255,65,Male,1130220,31,19248.91,12,1,Silver,0
10256,33,Male,383683,9,25196.65,1,0,Gold,0
10257,50,Female,1563864,43,47571.97,2,1,Platinum,1
10258,26,Other,732125,25,38176.79,16,0,Platinum,0
10259,23,Male,1429003,25,21637.26,2,0,Gold,0
10260,33,Other,1426947,49,3002.0,19,0,Bronze,0
10261,46,Other,2160220,21,8675.47,10,1,Platinum,0
10262,20,Female,972291,9,22959.44,19,1,Bronze,1
10263,37,Female,1233879,48,40747.15,10,0,Platinum,0
10264,53,Other,2348164,38,19220.57,16,1,Silver,0
10265,36,Male,2427345,22,27063.28,13,0,Platinum,0
10266,43,Other,418168,43,44622.7,16,1,Silver,0
10267,20,Male,348178,23,45715.67,18,0,Platinum,1
10268,36,Male,258123,49,11024.02,8,1,Platinum,1
10269,37,Female,2408977,4,2466.67,18,1,Platinum,0
10270,49,Male,1417309,29,15478.9,13,1,Platinum,0
10271,24,Male,1138624,15,34881.38,7,1,Platinum,0
10272,69,Other,1399438,1,47570.28,18,1,Bronze,0
10273,58,Female,915003,30,4128.49,6,0,Silver,1
10274,50,Male,1866312,29,1715.65,9,1,Silver,1
10275,57,Male,2475598,20,44242.12,6,1,Platinum,0
10276,56,Female,898267,33,37482.82,18,1,Bronze,1
10277,35,Other,496956,41,49614.75,17,1,Bronze,1
10278,57,Female,1036002,44,20020.61,12,0,Gold,0
10279,18,Female,1561621,36,20977.73,3,1,Gold,0
10280,28,Male,1370642,22,8863.9,5,1,Bronze,1
10281,45,Male,590508,13,6057.6,7,0,Gold,1
10282,42,Other,1954187,7,29062.29,10,0,Silver,1
10283,67,Male,1969107,8,18404.96,10,1,Bronze,0
10284,40,Male,236160,28,4291.73,19,0,Gold,0
10285,48,Female,219156,45,44383.26,4,1,Bronze,0
10286,47,Male,659822,43,10158.32,10,1,Gold,0
10287,59,Other,1479802,9,37504.64,18,0,Bronze,1
10288,52,Female,2014630,25,14326.76,3,1,Platinum,0
10289,24,Other,1710267,16,40701.37,3,0,Silver,1
10290,33,Female,919701,10,6184.32,5,0,Gold,1
10291,43,Male,1081809,11,37876.76,16,1,Platinum,1
10292,65,Female,505007,31,5176.51,13,1,Bronze,1
10293,69,Female,937197,12,22511.71,11,0,Platinum,0
10294,66,Male,2362591,31,36780.02,13,1,Silver,1
10295,19,Male,845649,14,8908.95,19,0,Gold,1
10296,18,Other,412986,44,14497.55,6,0,Gold,0
10297,65,Other,2131184,32,43278.92,13,0,Bronze,1
10298,29,Male,229777,17,44290.43,4,0,Silver,0
10299,22,Male,620661,35,2533.29,5,1,Platinum,0
10300,54,Male,398110,1,8654.1,19,1,Bronze,0
10301,49,Female,1233981,29,6138.36,5,1,Gold,0
10302,26,Female,614627,4,9230.75,14,1,Platinum,1
10303,58,Female,890568,23,48518.33,4,1,Bronze,0
10304,52,Male,1894408,28,27717.27,12,1,Platinum,1
10305,36,Other,1911303,16,23565.19,6,0,Platinum,1
10306,65,Male,759650,12,49228.03,19,1,Bronze,0
10307,33,Female,1417933,21,27980.72,10,0,Platinum,1
10308,20,Female,1899547,45,33157.56,1,0,Platinum,1
10309,37,Male,405827,17,16838.7,16,0,Silver,1
10310,41,Male,542424,40,19291.11,4,1,Silver,0
10311,50,Female,1661659,13,29842.15,9,0,Gold,1
10312,41,Female,2250241,32,3768.35,18,1,Silver,0
10313,69,Female,940045,37,13017.38,17,0,Bronze,0
10314,28,Male,1356245,15,10081.54,15,1,Platinum,0
10315,66,Female,932318,12,1089.9,19,1,Gold,1
10316,25,Female,358998,49,26983.99,7,1,Silver,1
10317,53,Other,1876079,15,28184.33,18,1,Platinum,1
10318,55,Male,822995,34,19381.78,6,1,Bronze,0
10319,57,Other,2203011,6,13655.76,19,0,Platinum,1
10320,37,Other,2190094,17,32707.38,12,1,Bronze,0
10321,52,Female,1476120,48,6992.56,3,1,Platinum,0
10322,65,Male,1176006,49,26075.17,1,0,Gold,1
10323,42,Female,1074168,20,38473.28,5,1,Gold,1
10324,52,Male,467614,9,8465.61,1,1,Silver,0
10325,42,Other,1394601,5,37737.0,8,1,Silver,0
10326,46,Male,2008516,23,38111.49,7,1,Platinum,1
10327,35,Female,1156011,33,3278.35,15,1,Platinum,1
10328,63,Female,992955,38,1233.58,11,0,Silver,1
10329,35,Female,1466571,14,48704.59,18,1,Silver,0
10330,19,Male,1961126,17,9911.12,14,0,Platinum,1
10331,52,Other,493313,19,41160.32,9,1,Platinum,1
10332,33,Other,1818505,33,28223.98,5,0,Platinum,0
10333,58,Male,354062,1,13444.27,4,0,Gold,0
10334,53,Female,1802525,13,6759.53,12,0,Bronze,1
10335,50,Other,1917355,46,24984.86,1,1,Bronze,1
10336,21,Female,1054032,27,20545.53,13,1,Silver,1
10337,50,Male,1876483,6,35034.64,1,0,Gold,0
10338,31,Female,906014,6,45237.18,3,1,Platinum,1
10339,38,Other,1647922,33,40320.83,8,1,Platinum,0
10340,65,Other,333114,30,13940.27,18,0,Silver,1
10341,37,Female,691638,46,43982.98,16,1,Silver,0
10342,25,Male,2087717,35,41719.55,16,0,Gold,1
10343,24,Female,884076,23,46478.07,2,1,Bronze,1
10344,20,Male,1588857,10,23095.44,17,0,Bronze,1
10345,34,Female,339133,19,38498.19,10,1,Platinum,0
10346,50,Other,545165,28,29705.41,7,1,Silver,0
10347,65,Male,1662597,23,15731.99,10,0,Gold,0
10348,29,Male,470001,4,49723.22,19,0,Platinum,0
10349,68,Male,1915556,20,2203.88,9,1,Bronze,1
10350,39,Other,1781041,19,8364.95,17,0,Bronze,0
10351,39,Female,623327,42,44659.36,9,0,Gold,0
10352,63,Other,1599298,27,3309.97,9,0,Platinum,1
10353,47,Male,1862805,34,44374.99,5,0,Gold,0
10354,55,Female,982409,4,35846.51,7,0,Platinum,1
10355,55,Other,1917826,38,2123.2,11,1,Bronze,0
10356,62,Male,850332,7,21637.21,8,0,Silver,0
10357,68,Male,913391,48,37797.23,14,0,Silver,1
10358,25,Other,1761232,7,29280.08,2,0,Bronze,1
10359,44,Other,705350,26,46812.8,10,0,Silver,1
10360,44,Other,537164,26,43421.91,16,1,Silver,1
10361,51,Male,2434967,19,16832.59,16,0,Platinum,0
10362,38,Other,2220880,9,4505.97,19,1,Gold,0
10363,47,Male,249476,20,47229.57,11,1,Platinum,1
10364,50,Other,1687564,42,26009.15,6,0,Gold,1
10365,45,Male,2209810,45,3997.56,6,0,Gold,0
10366,64,Male,1455959,16,40883.81,7,1,Silver,1
10367,50,Female,269093,17,43464.77,16,1,Gold,0
10368,22,Other,2313687,22,32079.4,13,1,Gold,1
10369,65,Other,1819426,13,22541.2,3,0,Bronze,1
10370,36,Male,1629762,12,33210.0,9,1,Gold,1
10371,21,Male,456323,10,35422.18,3,0,Bronze,1
10372,52,Male,2124088,1,44683.59,6,1,Platinum,0
10373,66,Female,2338421,32,47806.33,17,1,Silver,1
10374,34,Female,1329250,30,25861.75,3,0,Gold,0
10375,61,Male,1028894,8,39985.18,2,0,Bronze,1
10376,45,Other,1120631,21,48236.12,12,1,Platinum,1
10377,47,Other,485291,22,7816.79,6,0,Platinum,0
10378,46,Female,1849959,18,1207.92,10,0,Platinum,1
10379,63,Female,2388077,2,43487.5,11,1,Bronze,0
10380,23,Male,790669,48,10005.08,16,0,Bronze,1
10381,52,Other,1490906,44,2411.19,16,0,Silver,0
10382,58,Male,1262307,9,8256.78,18,1,Gold,1
10383,54,Female,1635367,3,19390.51,9,1,Platinum,1
10384,41,Other,1740450,26,11197.51,19,0,Silver,1
10385,46,Other,1889576,21,15471.11,2,0,Bronze,1
10386,66,Female,465976,30,48772.11,1,0,Silver,1
10387,63,Male,1805196,28,35308.96,16,1,Platinum,0
10388,48,Male,212467,36,35695.93,18,1,Platinum,0
10389,52,Other,1289601,26,5005.86,3,0,Silver,0
10390,50,Female,1392755,34,36685.29,1,0,Platinum,1
10391,69,Other,1245851,8,37045.41,6,0,Bronze,1
10392,38,Female,277994,10,33089.33,19,1,Platinum,1
10393,49,Male,294202,48,11653.28,19,1,Gold,0
10394,40,Female,1847982,43,21324.9,11,0,Gold,0
10395,50,Male,1634730,14,42359.94,8,0,Platinum,0
10396,20,Female,644854,40,33609.02,5,0,Silver,1
10397,35,Other,360185,15,36718.61,9,0,Platinum,1
10398,42,Male,2381515,17,29492.51,15,1,Gold,0
10399,59,Other,2158615,18,22644.45,14,0,Bronze,0
10400,48,Other,1178534,32,38024.88,4,0,Gold,0
10401,20,Male,473958,38,3675.91,8,1,Platinum,0
10402,57,Male,1095668,23,33756.09,17,0,Platinum,1
10403,63,Other,1518155,46,49861.06,2,0,Silver,0
10404,41,Other,1184588,23,39075.54,16,0,Platinum,1
10405,67,Other,455095,35,14741.01,10,0,Platinum,1
10406,49,Other,681632,39,14107.63,2,0,Bronze,1
10407,64,Male,1509752,15,33460.76,11,0,Bronze,1
10408,39,Male,1281516,24,44823.96,10,1,Bronze,1
10409,40,Other,729954,28,29024.1,19,0,Silver,1
10410,19,Female,1109834,16,26511.89,14,1,Silver,0
10411,44,Female,1611910,16,8271.09,11,1,Gold,0
10412,59,Male,1611188,40,35858.21,9,1,Silver,0
10413,19,Other,226505,39,35204.24,7,1,Bronze,0
10414,43,Other,1029601,6,48357.48,15,0,Silver,1
10415,34,Male,1452930,2,15219.55,17,0,Platinum,0
10416,57,Female,1850375,13,37895.34,3,0,Silver,1
10417,50,Female,2075530,44,21873.04,15,0,Platinum,0
10418,26,Female,412204,47,28056.1,14,1,Gold,0
10419,60,Male,728168,9,40877.76,8,1,Platinum,1
10420,65,Female,1173215,34,11333.15,4,1,Bronze,1
10421,56,Male,767827,17,17340.58,10,0,Gold,0
10422,46,Male,1467633,27,38733.44,2,1,Gold,0
10423,59,Other,707800,29,28651.76,14,0,Gold,1
10424,43,Female,1353419,37,4893.42,8,1,Bronze,1
10425,52,Male,2226182,43,21680.24,10,0,Platinum,1
10426,67,Female,643942,22,29455.68,18,1,Gold,1
10427,42,Female,248784,24,45503.01,15,1,Bronze,1
10428,41,Other,2410186,7,9667.86,5,0,Gold,1
10429,30,Female,2209413,34,40355.86,13,1,Gold,1
10430,24,Other,1973462,48,6792.04,18,1,Bronze,1
10431,53,Male,253997,12,12339.11,2,0,Silver,1
10432,62,Female,2290053,23,12394.19,13,1,Gold,1
10433,37,Male,381413,15,43910.72,14,1,Silver,0
10434,18,Female,1660865,33,10191.18,10,1,Gold,1
10435,25,Male,1613119,13,39411.95,4,1,Silver,1
10436,63,Female,1000981,23,23251.78,15,0,Platinum,0
10437,33,Female,2249875,38,49954.81,8,0,Silver,1
10438,31,Female,940686,32,42002.85,15,1,Silver,0
10439,29,Female,1717307,45,37063.25,14,0,Silver,1
10440,68,Female,1662108,35,43575.1,9,1,Silver,0
10441,40,Female,2454407,1,31811.31,3,0,Platinum,1
10442,32,Female,1080292,47,42229.52,15,1,Bronze,0
10443,45,Female,748912,45,13278.0,17,1,Silver,0
10444,51,Female,1727573,5,5155.85,16,0,Bronze,1
10445,19,Male,770993,13,30911.82,4,1,Gold,1
10446,49,Other,1862190,5,21904.11,11,1,Bronze,0
10447,40,Female,1046822,32,21494.11,8,1,Silver,0
10448,39,Other,2365521,21,26479.37,3,1,Bronze,0
10449,68,Female,1450469,24,18260.72,19,0,Platinum,1
10450,42,Female,1520309,18,31415.16,14,0,Platinum,0
10451,39,Male,1885876,21,1819.25,9,0,Silver,0
10452,39,Male,2108189,10,48503.6,3,0,Bronze,0
10453,66,Other,900146,24,46258.04,4,1,Gold,0
10454,69,Male,2373577,40,46782.93,4,1,Platinum,1
10455,59,Male,2196366,47,18440.67,11,1,Silver,1
10456,23,Other,1788858,21,26734.98,19,1,Platinum,0
10457,32,Male,1218543,25,47720.29,16,0,Silver,1
10458,60,Female,311915,23,45146.6,17,0,Bronze,1
10459,54,Other,585105,22,39575.15,10,0,Bronze,0
10460,50,Other,1353248,4,20544.38,17,1,Bronze,0
10461,25,Female,518821,34,28347.66,16,1,Bronze,1
10462,61,Male,232930,6,39707.75,6,1,Bronze,1
10463,61,Other,1321889,28,13868.7,7,1,Silver,0
10464,22,Other,949211,31,31434.53,14,0,Platinum,0
10465,56,Female,2193384,35,41448.34,11,0,Gold,0
10466,21,Female,1344634,39,35460.5,12,0,Platinum,0
10467,23,Male,2385028,42,24130.19,14,1,Bronze,0
10468,62,Other,809654,23,29355.04,5,0,Platinum,1
10469,49,Male,737691,6,49437.17,5,1,Platinum,0
10470,69,Male,972838,16,30218.79,15,0,Silver,0
10471,47,Female,461420,2,39345.2,1,0,Gold,0
10472,64,Other,677843,24,36412.26,9,1,Gold,0
10473,52,Other,535639,17,35164.08,3,1,Bronze,1
10474,57,Other,2460156,45,35903.54,4,1,Silver,1
10475,69,Female,558234,1,22884.16,16,0,Silver,1
