Size,Bedrooms,Bathrooms,Garage,Age,DistanceToCity,CrimeRate,SchoolRating,Price
2588,4,2,2,48,7.15,3.37,4,97.77
1750,4,3,0,49,4.39,6.37,7,73.49
1157,4,3,2,30,0.5,5.36,8,61.08
1071,2,1,1,40,10.5,5.96,3,32.91
1692,4,4,0,5,1.76,4.72,4,79.79
1410,4,3,1,30,29.17,2.78,1,50.79
1785,4,2,1,2,15.42,9.53,1,61.42
1689,2,1,1,39,14.11,0.86,1,67.87
1470,3,1,2,2,8.33,9.39,8,62.73
1161,4,1,0,32,1.25,3.11,4,58.15
894,3,3,0,12,3.8,5.13,6,43.81
1321,3,2,0,20,1.27,1.09,7,81.99
1842,3,3,0,36,1.5,0.71,6,87.99
1585,3,3,0,15,4.72,4.3,5,66.27
1001,1,2,2,20,0.5,7.42,1,45.38
1569,3,2,0,47,17.44,2.69,6,55.51
1654,2,1,1,43,12.55,5.62,3,53.59
1146,3,2,1,12,2.4,2.79,7,70.77
1561,3,2,2,3,3.62,3.89,4,74.78
1523,3,1,2,30,3.14,9.06,7,61.16
1042,2,1,1,8,10.69,8.56,6,39.53
1643,3,3,2,47,5.83,5.16,6,64.95
1724,4,2,1,32,1.63,2.38,4,66.04
1933,2,2,2,36,2.96,1.93,4,84.54
1921,2,2,1,36,2.8,9.54,8,62.8
948,2,3,0,23,16.01,2.03,1,44.36
1124,4,2,1,24,0.96,8.08,3,56.26
1706,3,1,1,40,0.5,3.69,6,79.42
1705,3,3,1,28,10.63,9.86,8,74.81
1706,2,2,0,39,11.35,3.68,5,69.35
3041,3,1,1,49,10.27,3.52,7,103.03
1728,4,2,2,46,3.58,6.37,6,72.87
1954,4,3,0,35,5.39,9.62,2,68.77
1881,3,2,1,14,4.14,9.76,6,78.13
1760,2,2,1,44,0.5,7.07,8,63.84
1373,2,2,2,17,4.53,7.55,10,75.51
1803,1,4,2,19,0.5,5.63,1,69.98
1190,3,1,1,4,1.97,7.56,7,58.32
1405,2,2,1,17,13.46,8.6,5,56.76
1305,3,3,0,39,1.81,4.86,1,43.09
1532,3,1,1,0,14.05,6.2,6,70.92
2425,4,4,1,18,1.44,5.37,3,108.55
753,3,3,2,22,1.89,5.62,5,49.99
1774,4,3,1,25,4.95,8.9,4,70.85
854,4,2,0,48,7.17,3.56,5,35.3
1311,2,2,1,28,3.48,2.08,6,55.96
1935,4,3,1,33,10.69,4.56,5,81.48
1525,3,4,0,18,0.5,2.08,6,79.52
1068,3,1,0,47,12.77,4.98,4,39.81
1213,3,3,0,17,1.09,9.04,6,47.22
1771,5,2,2,1,10.78,6.17,8,91.34
1207,3,1,0,26,2.56,8.55,4,58.93
1586,3,2,0,5,8.94,1.66,6,86.53
1518,4,3,2,38,5.57,9.01,6,62.22
1239,1,2,1,5,0.97,6.02,6,58.63
2357,3,2,0,5,12.51,0.32,5,102.58
1753,4,4,0,30,1.41,6.33,6,77.36
689,4,2,0,40,1.4,9.51,1,24.43
1574,5,2,0,39,8.41,0.79,5,68.13
1235,5,2,0,29,0.56,5.82,6,72.13
1840,2,2,1,20,1.26,9.15,1,62.22
1182,4,2,0,40,3.5,0.1,6,58.62
1454,3,3,1,43,8.87,6.31,7,60.23
1701,3,2,2,17,0.8,4.75,7,92.01
1846,2,3,1,22,3.97,3.47,3,75.98
1019,3,1,2,37,6.21,6.28,10,40.75
1366,5,2,1,22,9.85,0.53,6,61.98
1310,4,2,1,27,13.71,7.53,5,65.95
1238,3,1,1,35,7.68,0.04,4,47.99
2206,1,2,0,24,5.29,3.07,6,86.91
1661,3,2,0,6,2.84,5.04,8,74.49
995,4,1,1,17,0.59,3.77,6,55.86
1867,4,2,1,19,6.18,3.07,7,82.87
2348,3,2,1,4,24.63,8.31,5,75.28
1912,2,2,2,17,6.67,9.35,5,79.3
892,3,3,1,41,0.5,8.74,4,40.45
1306,3,2,1,39,3.43,5.22,7,55.3
2006,4,2,1,32,4.77,8.84,5,71.86
1216,3,3,2,14,5.85,9.21,3,60.68
1677,3,3,2,34,6.36,4.09,5,71.34
1809,3,2,2,46,4.08,2.83,8,85.61
1129,2,1,0,45,1.26,0.98,7,50.43
1476,5,2,1,0,14.25,4.79,5,77.1
500,3,2,0,20,5.96,9.46,9,28.47
1090,3,3,0,7,1.35,5.61,2,56.54
1398,3,3,2,6,1.95,6.68,1,72.43
1000,3,2,0,40,12.75,1.13,3,49.42
2152,3,4,2,49,10.92,1.44,3,89.15
927,4,2,0,43,2.6,4.64,2,42.98
1323,3,1,2,39,0.5,9.51,7,58.65
1552,3,3,0,39,0.5,3.61,6,71.11
2076,2,2,1,29,1.67,8.77,6,74.82
925,3,3,0,37,4.96,1.2,7,45.0
1965,1,4,1,34,4.39,6.17,7,75.14
1504,3,2,1,1,5.02,6.01,4,67.27
1107,4,2,1,45,6.32,8.6,6,48.62
1684,4,2,0,7,0.5,0.03,6,96.18
1579,3,2,0,37,0.56,1.9,9,69.16
1259,3,2,0,3,2.23,2.2,4,76.52
1527,2,2,1,36,0.84,9.5,2,46.24
1345,3,3,2,20,0.5,1.54,7,82.91
1545,4,2,2,12,5.12,0.37,7,84.03
1764,2,1,0,8,8.45,5.34,4,75.08
2134,3,2,1,44,6.98,5.29,6,84.44
1004,4,3,1,28,8.49,8.44,2,45.9
2353,4,2,0,40,5.48,9.49,9,83.75
719,2,2,1,23,6.65,5.39,3,41.93
1439,3,3,1,15,1.59,9.3,2,56.49
1735,2,2,0,11,24.81,7.25,1,47.93
1612,2,2,0,1,1.01,2.65,5,87.21
1250,4,3,0,18,1.21,9.28,2,49.11
1416,4,1,1,29,1.7,6.67,7,68.53
1302,4,4,0,15,18.51,4.14,8,66.9
1264,1,1,0,23,22.24,6.8,4,40.63
1839,4,1,1,12,7.92,4.01,6,78.37
1642,3,3,0,4,4.96,1.14,1,77.92
1222,3,2,0,22,3.67,7.19,5,55.31
1859,3,3,2,37,17.64,8.24,4,63.08
1622,2,3,0,30,5.95,7.29,4,56.53
1825,4,3,1,16,14.48,2.29,6,87.09
1751,3,4,1,48,1.9,9.57,3,63.66
1168,2,2,1,48,2.03,0.25,8,59.47
1275,2,3,1,2,9.65,3.33,7,68.34
1798,2,1,0,25,0.81,2.6,7,82.83
1744,2,2,2,12,14.59,0.48,9,87.41
1491,3,3,1,43,3.54,4.06,9,57.2
1546,4,2,2,37,13.05,6.23,6,61.97
2011,1,2,1,21,2.05,8.83,6,85.53
1263,1,2,2,20,6.29,9.9,5,54.75
1718,3,2,1,28,3.3,8.08,7,75.74
1419,4,4,2,44,4.93,4.69,6,60.16
1412,3,1,1,45,3.51,7.24,9,56.67
1939,3,2,1,38,17.07,8.44,4,60.66
1830,3,3,1,4,5.89,4.65,5,85.87
1825,3,2,2,13,1.45,7.85,5,76.48
2022,1,1,2,17,12.02,4.83,8,74.53
1508,4,2,1,3,1.74,3.86,2,77.1
1772,3,2,1,32,2.32,5.26,6,69.61
1375,3,1,0,38,0.54,6.76,5,57.07
1629,4,3,1,19,11.51,7.27,2,65.36
1447,3,2,0,12,1.69,3.57,5,62.77
1538,2,3,1,35,1.5,5.71,6,71.43
1738,3,3,2,44,12.65,9.1,2,56.64
1172,2,2,0,3,8.19,9.76,6,52.14
2336,2,1,1,34,0.76,2.27,9,93.31
1097,3,2,1,7,7.33,1.93,10,64.41
1014,4,1,0,39,12.21,6.77,6,39.95
1963,5,3,1,48,0.5,4.15,6,84.32
1816,3,1,1,46,8.72,0.24,4,78.38
1749,2,2,0,35,3.96,3.47,10,74.84
1751,2,2,2,5,5.53,8.07,4,74.7
1495,4,2,2,21,3.39,7.97,6,73.96
1141,3,2,0,5,5.98,4.95,1,51.22
1530,3,2,0,41,0.5,4.73,5,62.88
1229,4,1,1,35,7.19,5.8,2,44.69
1890,4,1,1,8,0.5,2.19,7,94.52
1441,4,2,0,15,3.04,5.26,6,75.7
1169,2,3,0,38,0.82,0.11,6,51.73
1371,4,2,1,45,8.67,4.76,4,59.01
1665,4,2,2,37,1.88,3.36,8,78.57
1274,3,2,1,32,3.03,6.75,1,50.68
1171,3,2,1,17,2.8,6.38,5,65.09
1597,3,3,2,11,7.4,3.81,7,76.04
1597,5,1,1,26,3.28,0.07,9,77.37
1297,1,2,1,46,7.78,2.52,4,43.52
1311,3,3,1,0,0.5,6.33,6,75.95
1592,2,3,2,14,1.06,0.72,6,80.78
920,4,1,1,46,4.01,1.08,8,46.31
937,2,2,2,26,14.7,6.47,2,32.17
1212,2,3,1,15,0.5,7.56,5,60.14
1414,3,1,1,20,0.5,3.22,3,66.3
1624,4,3,0,0,0.85,4.9,1,72.55
2090,2,3,1,28,5.12,9.46,3,65.92
1843,2,3,1,2,2.55,9.46,10,82.89
1436,4,1,0,11,8.73,3.08,4,73.59
1492,3,3,1,27,0.5,8.1,9,66.73
1098,4,2,0,38,1.09,5.94,4,41.7
1492,2,3,2,36,1.78,9.75,9,60.71
1384,3,1,0,30,4.93,4.78,7,60.98
1629,2,1,2,30,5.78,7.75,3,51.03
1169,2,2,1,32,0.66,7.68,6,44.53
1707,3,1,0,32,14.39,4.97,5,65.98
2113,3,2,1,46,2.09,7.96,5,66.85
1456,4,3,0,39,6.24,2.61,5,68.48
1660,3,2,1,10,3.71,1.22,5,75.38
1776,3,3,1,45,1.26,4.25,7,65.63
1339,3,1,0,28,9.36,9.44,7,51.15
1589,5,1,2,24,8.53,5.01,5,67.02
1505,3,1,0,12,2.52,6.35,9,70.19
1539,3,2,1,43,4.44,6.24,9,63.95
1190,3,3,1,18,1.49,1.33,1,60.64
1509,3,1,1,35,5.85,3.9,1,52.45
1699,3,2,1,27,1.85,7.07,5,72.09
2080,4,2,1,3,9.29,9.72,6,87.08
1883,3,3,1,2,1.23,1.68,4,94.07
2361,4,1,1,37,0.5,4.1,4,89.84
1193,2,2,0,36,1.56,0.95,7,55.58
1848,3,1,1,42,1.06,2.42,6,70.13
1573,4,2,0,24,3.55,3.77,3,68.04
2375,2,2,0,40,1.14,5.41,8,84.24
1176,5,3,1,34,7.2,2.31,7,63.45
1164,3,2,1,28,1.38,2.28,5,58.65
1260,4,2,1,40,6.14,7.78,7,52.55
650,3,2,1,28,4.32,9.63,3,29.83
1289,3,1,1,11,21.43,3.24,6,68.22
1196,2,2,1,34,46.1,6.88,3,18.58
1560,3,4,0,19,10.18,2.58,1,67.5
1636,2,3,1,16,7.14,9.28,5,60.15
2250,2,3,1,11,2.44,6.73,3,87.47
1880,2,3,1,49,7.0,8.03,6,58.87
1269,3,1,1,35,15.7,0.49,7,60.58
1140,4,2,1,9,0.5,5.99,3,54.6
1696,2,1,1,17,3.86,5.28,1,70.83
971,2,2,1,29,1.23,2.93,7,56.57
2232,3,1,1,7,4.08,2.62,1,103.17
1971,2,2,1,40,3.14,5.8,5,80.88
1312,2,2,0,12,4.29,7.06,6,57.04
814,2,3,0,30,4.0,0.33,8,59.21
2041,4,3,0,5,16.11,5.67,8,88.15
1454,4,3,1,6,4.02,1.7,7,85.08
1995,3,1,2,20,9.36,1.4,4,92.97
862,3,1,1,37,1.93,6.23,7,38.86
1260,3,2,0,42,2.88,3.11,4,53.97
1502,3,2,1,48,3.18,4.41,4,47.72
1518,3,2,2,27,1.63,3.6,6,76.16
1319,3,2,2,43,2.39,6.48,7,66.37
1749,3,2,1,20,4.56,4.7,2,75.41
1072,1,2,2,20,4.34,9.63,2,48.79
1443,3,2,0,23,5.06,3.52,7,74.39
1548,4,2,0,26,2.17,7.4,8,65.92
1705,3,2,0,26,1.9,2.57,6,78.77
1784,4,2,1,12,4.73,5.09,5,84.19
1050,5,2,0,49,0.71,5.53,8,45.02
886,2,1,1,28,1.46,3.29,7,56.84
2011,3,2,1,38,0.5,4.72,6,77.48
1632,3,3,1,27,0.5,2.79,5,75.14
1200,5,3,2,36,1.39,0.06,3,64.6
2120,5,2,0,28,0.5,2.16,5,93.1
1546,3,2,1,47,1.41,7.0,4,70.82
1971,2,2,1,21,5.32,7.71,5,72.47
1527,4,2,0,35,0.5,2.8,6,62.83
2324,2,2,1,29,2.87,4.08,3,87.98
2202,4,2,2,27,12.22,0.37,8,91.88
1400,4,2,2,22,7.83,2.37,3,65.29
1888,3,2,2,32,1.82,7.79,6,77.54
1758,3,3,1,3,12.94,6.06,7,75.44
2047,3,1,1,2,2.0,2.06,6,95.4
1114,3,3,0,31,0.5,2.57,5,59.88
1774,3,1,0,3,25.63,8.17,6,62.76
1923,4,1,0,0,10.2,2.09,8,93.36
796,4,4,1,11,3.14,3.34,10,66.36
1026,4,4,2,12,5.49,6.64,6,60.89
684,2,1,1,33,5.56,5.61,7,36.81
1392,4,2,1,28,1.08,4.61,1,63.09
1787,4,1,1,8,1.12,9.0,8,78.08
2100,3,2,1,30,3.17,2.2,9,84.57
1529,2,3,2,6,12.13,7.41,6,63.81
2151,3,4,0,12,0.5,1.59,7,96.5
947,4,2,1,1,7.63,6.16,6,65.32
818,3,2,1,32,0.5,8.71,4,29.54
1477,4,2,0,49,3.25,4.58,8,64.96
1653,3,2,1,6,5.08,7.24,6,72.57
1486,4,3,2,17,5.8,8.2,6,74.46
673,1,3,0,7,0.5,1.36,7,52.89
1464,3,2,0,11,2.71,7.06,8,71.33
978,3,2,0,42,4.38,9.2,7,41.54
1767,2,2,1,29,0.5,5.76,4,76.59
1646,4,1,1,8,0.73,1.86,6,82.87
1124,2,3,1,27,5.45,1.27,10,61.71
1294,3,2,1,3,3.69,2.6,6,76.63
1076,3,2,2,38,0.88,1.04,9,53.94
1474,3,2,1,16,3.83,5.13,8,64.22
1882,2,3,2,10,12.19,0.7,7,91.05
1105,1,1,2,1,0.5,2.23,5,69.0
1701,4,3,1,22,5.14,4.4,5,79.23
1287,3,3,1,49,0.5,4.74,6,54.86
1182,4,3,2,21,0.5,5.65,5,61.14
1457,5,2,2,25,0.82,7.06,7,79.05
1085,2,2,0,11,2.75,0.47,7,75.06
1278,3,2,0,31,8.11,0.81,5,61.21
1020,3,2,2,8,1.65,0.61,7,66.64
2285,5,1,0,42,4.91,4.23,6,81.6
1514,4,2,2,4,2.65,0.42,5,88.02
1220,3,2,1,25,1.34,7.46,5,49.6
1585,4,3,0,6,3.61,2.23,8,81.07
1455,2,1,0,28,7.98,9.39,5,48.45
1411,5,2,0,32,8.93,4.86,4,63.11
1745,5,3,0,23,9.37,4.46,5,84.62
1803,2,3,1,24,2.07,7.81,4,72.29
1287,3,3,1,30,7.89,7.13,6,58.15
1269,2,3,2,28,1.19,6.07,3,61.18
1389,3,3,1,4,6.71,9.35,8,73.24
579,4,2,1,37,14.82,4.22,4,27.87
893,3,2,1,44,0.5,8.09,6,43.36
2046,2,1,1,10,2.9,3.8,3,90.49
2157,3,1,1,31,5.22,8.38,10,84.18
1400,5,2,0,7,6.05,2.59,6,78.17
1730,3,1,0,19,0.97,2.89,8,84.58
1624,3,2,0,33,17.91,6.78,7,61.27
2731,2,1,0,46,4.78,2.13,7,87.53
1947,5,1,1,41,0.9,2.29,8,87.37
1448,4,3,0,7,0.5,3.05,3,82.81
1117,3,1,2,1,7.65,6.79,7,66.94
857,2,3,2,20,0.5,8.89,4,46.31
1581,2,1,2,14,0.76,6.75,7,72.97
1197,2,3,2,5,4.28,8.28,9,63.67
931,3,3,0,4,4.63,5.44,9,61.58
1241,4,2,1,2,5.81,0.69,3,76.73
1067,3,2,0,42,2.5,1.0,5,54.38
2174,4,1,2,42,7.43,5.54,5,83.41
1852,3,4,2,15,18.32,3.28,3,75.48
1496,4,3,2,34,1.58,2.21,2,74.49
2091,4,3,1,8,6.07,4.66,5,90.91
1530,2,2,1,34,13.19,6.66,10,61.73
1155,3,2,0,18,5.8,3.85,6,57.17
2109,3,3,0,42,5.71,8.03,6,73.78
1715,2,2,1,45,1.27,7.39,6,72.1
1085,3,2,1,33,3.83,7.35,7,52.36
1423,3,1,2,38,4.13,9.85,9,57.08
1149,5,3,0,9,6.02,2.95,6,77.19
946,3,1,2,9,28.76,6.45,2,24.8
1870,4,2,1,19,0.5,8.55,6,78.83
2263,3,2,2,0,0.5,5.8,10,104.44
940,4,3,2,5,0.5,7.9,5,55.31
1725,3,2,2,45,6.79,4.14,6,59.7
1239,4,2,0,1,0.73,5.9,3,66.06
1305,3,1,2,37,4.87,0.56,3,62.64
1263,3,3,0,32,1.96,9.86,8,53.69
1154,3,4,0,2,3.06,8.0,5,67.28
1519,3,3,1,35,1.21,8.69,5,60.79
1167,2,2,2,12,10.05,6.94,5,60.61
1608,2,3,1,34,4.41,1.86,9,72.43
1479,1,2,2,14,14.46,0.31,2,56.11
1404,4,2,1,44,4.27,8.65,8,48.11
1136,2,2,0,21,0.66,3.96,5,54.92
1269,2,2,2,42,0.94,2.64,8,56.04
1802,4,3,0,3,22.58,5.62,10,79.69
1700,3,2,2,16,6.47,4.21,5,82.74
1108,3,2,1,4,0.5,6.52,3,52.7
1539,2,2,1,20,6.08,4.84,3,72.01
1800,5,1,1,23,2.66,6.97,7,74.89
832,4,2,0,30,1.84,8.53,3,32.62
1717,4,2,1,39,0.84,1.96,4,73.66
1234,3,1,0,29,9.16,3.29,4,60.7
1728,4,2,0,41,0.5,4.37,5,67.07
1194,2,2,0,6,1.71,9.62,2,49.53
778,1,3,1,48,1.83,3.65,8,37.18
848,1,2,1,6,0.88,3.81,8,63.24
1519,3,3,1,26,3.55,6.53,5,63.87
1603,3,3,2,23,0.5,4.19,6,79.29
1138,3,3,1,18,1.79,9.51,6,56.08
1755,1,2,1,40,13.56,8.94,7,55.31
835,3,2,1,33,1.86,5.13,6,42.93
1473,4,4,1,21,2.24,6.45,6,82.04
1015,3,2,1,26,3.2,0.58,6,73.74
1239,4,2,0,5,4.12,6.96,7,62.65
1518,2,2,2,9,8.27,7.07,5,61.84
1155,4,1,1,44,1.06,3.59,5,52.84
1346,3,4,0,30,10.27,2.2,4,50.38
1902,2,2,1,24,7.08,9.15,6,70.64
1269,2,2,0,1,6.41,4.27,5,76.1
1834,3,2,0,9,0.5,6.54,6,79.57
1048,4,2,0,9,0.5,0.33,5,74.5
1711,3,1,1,25,4.51,4.14,8,83.31
2076,3,2,1,4,9.94,8.17,2,76.55
511,4,3,2,21,4.39,3.88,6,46.51
1181,3,2,0,3,1.2,6.03,6,67.56
1730,3,3,1,33,0.5,2.1,5,81.44
1418,3,2,1,6,6.01,4.17,5,75.89
1648,2,2,0,49,6.4,9.28,8,59.93
1258,3,1,1,16,0.95,5.66,4,56.76
1534,3,2,0,10,0.5,9.02,8,72.71
1437,5,3,0,49,2.62,9.02,8,65.18
1967,3,3,1,7,4.37,9.44,7,92.72
1601,3,2,1,27,6.12,8.95,7,65.27
1635,3,2,0,43,8.3,0.03,6,66.2
1335,4,3,0,32,4.71,9.34,6,60.76
1304,4,2,0,24,0.59,1.37,9,76.65
1326,3,1,0,20,5.74,0.4,4,68.18
