Advertising,Discount,Store_Size,Competitor_Price,Seasonality,Online_Presence,Economic_Index,Sales_Price
3824,10.986640258620938,1376,400,0,0,92.57098316096821,-4327.575989843388
4417,11.231585243894912,1193,465,0,1,98.08779143657756,16444.586699467436
3612,11.119439033085897,839,435,0,1,57.06462070020477,16470.93424830987
3945,9.868311645963892,990,393,0,1,80.02867311913212,24219.157111942433
2363,16.72530646649596,994,224,0,0,90.57882665021721,4804.201928236847
3139,16.384936437360913,1229,458,1,1,91.1513931498952,14224.9773956088
2390,12.179673058257872,1686,270,0,0,72.02238429008743,23611.320864384146
4003,5.669918245683482,955,227,1,0,61.26881709140102,382.64885670156764
2478,9.6433895226961,1615,210,0,1,69.35699630562213,11526.210367749305
4499,9.384545698322562,604,317,0,0,87.55763545121275,-5531.0831424958415
3556,17.166308693003877,1218,407,0,0,99.68889461403359,7144.427858828576
1775,6.313633601242621,938,292,0,1,77.71446039400091,7056.115099775881
1034,17.085130685640564,1851,340,1,1,59.75622043245612,4835.184758816391
3253,15.037754782987145,1150,210,1,1,52.09673833854072,17434.162842847258
4152,15.986621886956739,1008,490,1,0,97.18449199488302,-8.55390077692391
2955,11.483197813775352,750,438,0,1,74.15166011361396,2282.1139340081627
2585,15.195886940026373,1464,463,1,1,85.8296334258857,21585.76103495372
4943,14.135434170603737,1714,462,1,0,83.00905175730713,32506.175400881173
4459,16.534702928429443,546,268,1,0,94.54356420752711,21860.367817469614
4073,11.701547517023782,1378,269,1,1,63.30452862739915,16339.660420133845
2021,12.092384373444537,1774,384,1,0,72.08600466414312,18801.77092136091
4461,14.653643341097302,1517,323,0,1,95.68104159922325,14881.197968217039
3613,6.621162404995824,1274,421,0,0,79.27880958939674,-10588.841244000434
2129,11.54366672546476,1384,210,0,0,53.5680818200491,-7047.784454545286
4843,19.579262678897084,563,365,0,0,59.7242088271507,514.649985179125
4893,5.563284800900684,819,290,1,1,61.86075085144216,32388.687715538876
2500,9.740070842995907,1359,447,1,0,99.68927466393413,-1519.7525659224084
1702,9.711647286340561,1279,490,1,0,61.20694950284194,15461.193512902606
3449,14.501961788536589,1815,356,1,0,93.48420358076947,311.72927514175717
3777,6.587005391362099,528,287,0,1,53.90478249746808,17510.288190393076
2579,14.428160463182916,936,427,1,0,59.08603467202613,11911.638811157805
1161,6.425603609774291,1262,333,1,1,93.60276058349993,-278.84013966331077
1201,6.424304711274965,1235,465,1,1,94.9468238366298,12118.103938032116
2981,15.922750357827233,1570,283,1,1,58.80981259764006,18853.61190266165
1995,9.862027607491946,1940,411,0,1,61.492609209919294,14258.262023239167
3317,19.661344215706215,950,417,1,1,76.52836656660801,19302.772644962482
4934,5.560294046533324,1132,436,0,0,52.63414760523787,16803.523693514515
1815,11.676599955769912,1597,350,0,0,97.26420837276802,27854.593835477655
4342,6.697039065110355,1576,373,1,1,68.10383625458414,31319.91643274744
1455,10.27068450137163,732,339,0,1,74.4643982892076,11332.73634768934
4533,19.97333675913576,699,254,0,0,55.25241775637741,12941.780319207619
4798,18.33263767607798,1173,340,1,0,51.62723172720255,6718.054403121598
2275,5.724866132830954,1048,273,1,1,73.39084532349472,16745.87257412892
2016,13.448837657385251,1436,334,0,1,56.083368504288,15759.91937166687
4773,14.717334572366536,596,329,1,1,81.51593441118206,3768.6552352271583
3343,8.143019359251884,548,431,1,1,89.72406516681104,24261.05759330684
4796,7.176583600946754,1395,225,0,0,51.58355658614451,8626.931247562217
3767,18.56571701998285,1021,268,0,1,80.61112512205347,11048.242524919324
4820,19.53224662225065,539,261,0,1,90.78133753607824,4579.293072612587
1337,19.87839285979463,1413,399,1,1,71.97139897659869,22825.649277153578
1878,16.84642660601952,1676,366,0,0,97.98523319214968,-5646.645069431487
2076,14.952531041078856,1629,315,1,1,55.55974533461392,-1009.0316200674806
1791,10.18595378289497,1052,338,0,1,66.14922317258734,2138.569272047368
4993,7.570974684871286,1175,431,0,0,61.50375169677853,5743.937903851616
3264,6.184708990493475,1269,413,0,1,99.80955777704874,12016.533856954127
1763,15.39946202827238,710,407,0,1,64.70881771027894,-8715.209764021314
3235,16.770851227690372,1725,301,1,0,69.3963374197007,14077.218067422084
1379,17.396804786824703,932,497,0,1,92.38082448544912,-9035.578499628753
1492,18.70647504955698,1206,209,1,1,96.49817539932067,11307.136541433443
4112,18.198943454575605,1064,322,1,0,96.88736146625226,20775.12562937914
2180,19.996119083871392,646,474,1,1,77.90840193245418,12872.372300284336
3062,8.660960164508769,781,203,0,1,83.16511130239837,6407.887581017642
4884,16.449614228183158,1833,458,1,1,67.45858633817085,7322.087137823872
1064,13.796892685621964,1254,408,1,1,80.35793646751405,34705.756609935896
4928,8.918676986803735,1574,465,0,0,65.13740342255355,17692.598623255242
4910,19.728579834304142,994,461,0,1,87.30141781796613,13152.603428186314
3568,18.468471571613783,908,486,0,0,65.36050582759515,13412.103203852372
2367,6.927735026661747,772,230,0,1,93.97053541210322,15459.859386351422
2152,5.392375134851298,957,375,1,1,57.17419446360814,16413.86038307105
3027,15.324961434990152,1643,208,0,1,78.5902564574227,15601.427204557187
3695,14.061959432848028,545,403,0,1,76.03377481374739,8709.937150533813
2495,19.03723436166719,1766,307,0,1,63.185873719713825,7044.708731699618
4134,8.510079307405547,810,323,0,0,51.40010545884381,6911.1402131312025
2162,6.265819218424806,1061,437,0,1,57.42668431984685,23753.83153208111
2522,8.888230006579796,830,329,1,1,98.3975583273932,19265.49882642396
3640,5.283914607671952,510,433,1,0,97.06522638196853,366.2911147143486
1391,5.538391267833987,1407,203,0,0,55.96503616264758,19960.993092876808
2698,18.722867088811395,1947,419,0,1,68.74300994346686,9333.64552734402
1418,10.280248737528174,1571,461,1,0,73.25633095652941,2445.053520633858
3336,11.16213501514521,1900,229,0,1,73.90359653947107,18780.27020787055
1378,5.275574818071566,507,276,1,1,64.9409910232771,657.6132397194779
2796,9.0578267025777,1483,382,1,1,95.64764163350343,4598.13796534725
4561,17.070889756121467,1893,491,1,0,95.42453002416886,24921.055875907838
3278,14.232364395000788,1963,401,1,1,50.94642102678647,1562.277528283188
4065,16.30670901629623,1065,356,0,0,82.50006877587128,8893.544124277918
3088,11.708206111906776,772,299,0,0,53.71812042334037,14818.128870373479
4099,9.645938326269949,1440,321,0,0,79.87488310656377,2875.0046581078177
3182,12.242151399925554,1400,309,0,1,93.34464482008995,22276.05583792113
1200,9.846066026086268,630,366,0,1,82.47654748117637,11993.026416395165
2863,17.58456645011102,1223,329,1,1,73.4463807471881,44365.266854577116
1779,9.465105733892685,1133,469,1,0,97.89478645857969,10211.179907661137
3977,14.896454606796256,613,337,0,0,87.32992915087699,24126.378216849196
4104,7.0547333346429175,1031,375,1,1,62.465468637640186,518.4615029455981
4119,15.30299740602365,1862,263,1,0,69.34684505260088,6132.427576708227
1502,18.699495674000506,1544,330,1,0,87.9937667019982,20115.646230963182
3454,14.128747319598624,532,387,1,0,50.965712405802776,60.674386967761166
4645,13.397830700517158,632,476,0,0,53.1981651274136,-234.70114025458315
2751,19.416774020324603,1419,346,0,0,92.97115892298834,25990.923233554742
1804,14.410948329737696,1474,219,1,1,52.14729948169342,18934.990803875615
3146,8.893256499096239,525,241,1,1,83.92569205995767,15992.609439570773
3731,9.385865357716106,1887,339,0,1,65.94529785279174,17230.578948802697
2895,15.579599638038909,1100,208,0,1,91.29458588723546,13565.861164189939
3773,16.031548908382796,1615,278,0,1,92.36730327653136,-5327.917555089349
2570,9.552443476835228,1044,347,0,0,97.66695540408642,9857.391447456586
1960,10.180159668894953,1761,392,1,0,54.777477651874136,4849.765225703348
4810,19.865847631086304,517,458,1,1,71.14235046146749,16291.498934430856
3660,6.529288243704162,1797,335,1,1,78.69792949776725,9898.596745241113
2485,11.069675426601489,1433,238,0,1,95.80284397949052,6599.025355181038
3690,5.936712967962611,788,486,1,1,63.32570727165531,-3334.0120171691615
4840,17.316175429973615,1550,349,0,0,53.58137453635605,15603.02941300668
2028,6.385187584181484,1316,204,1,1,60.08823102970506,28496.655146856232
4289,15.110110346940667,1957,435,1,0,74.77891618775948,4118.388045673
1502,5.847251360052231,607,435,0,1,84.05255011393953,-124.05803647673383
3814,15.092825567145367,1472,304,0,0,84.53370106561462,19745.55389632554
1397,17.645554203915548,1447,406,1,1,53.73316535471567,8171.180221415676
1870,10.982322903860862,1237,438,1,0,88.07051322812102,11119.915902365345
3842,12.831897401482653,823,251,1,1,83.01197016097166,16434.22089284056
1392,11.023126070079236,1366,307,0,0,70.3771593606676,5723.683892548316
1206,9.507331379489584,1234,232,0,1,78.55431342114848,6514.624636993255
2038,17.048951009406924,1292,221,0,1,88.38702231457465,-63.83161665607804
2881,9.080038605964845,1627,210,0,0,63.10463740003128,1793.9493894582392
4625,15.844151365841705,1855,326,1,0,97.0016751702058,-4909.204102570315
3939,8.092956188828033,1885,249,0,1,56.888380247351336,16933.262345089108
2484,8.747806941174943,788,397,1,1,95.11114058517802,11367.377667073242
4762,10.046917438658184,1967,216,0,0,87.04289780605508,19879.75883598632
4646,13.837345660906823,1560,243,1,0,83.0259309664597,22469.36020157676
1863,11.816334787393117,1871,384,0,0,54.1453998629339,11841.743266499981
3790,16.177172147417306,1391,238,1,1,95.95023037778442,-716.854976628727
4312,8.203509505042884,542,336,0,0,64.76651752701973,-222.60757595479936
1563,5.160084317732512,1649,478,1,1,87.28061031560856,3523.1164257700766
2020,16.6483620767783,508,363,0,0,94.24007063449817,-7198.898697213076
1095,17.324740008201086,1654,230,1,0,62.21417467010148,15555.813769934412
2923,5.892202446625843,1848,222,0,1,95.73003854413247,16688.650631245313
2757,14.163612832375948,683,398,0,1,80.59708242970139,-3359.3553181717907
3532,10.67310175809617,1805,373,1,0,82.95158911487505,20905.86152149478
4478,16.908434827917752,1394,257,1,1,95.72564432221454,11261.088135687154
3278,18.116218312947176,1576,395,0,1,76.33674609764536,1746.0402812974935
3796,17.76505650195874,1369,287,0,1,72.03237788077888,13758.774977211464
2678,16.65806371026278,1032,341,0,0,81.66158837877441,19278.446287796614
4242,9.035783431132444,1900,480,0,1,77.70117585292525,7098.476655823241
1540,17.17834465352475,1818,406,0,1,53.073785622366415,-702.1746848578987
2059,13.00217713859439,1731,371,0,0,59.02460234657579,13356.896034928028
3572,5.7913492224813625,1499,474,0,0,50.67832394615069,11670.358666455282
2183,11.854082748473735,1162,247,1,1,55.40814197490423,6847.575409651588
4910,19.1323687554499,1453,360,1,0,86.4924829888792,4547.872992945167
2722,18.31789024603329,568,364,1,1,50.23555809026747,6880.125976874819
4314,6.5339642149567405,1960,416,1,1,65.22027573038835,5312.710178828902
4157,16.161900285715554,800,316,0,0,72.46607021893026,1657.4664652146012
2819,17.08689298937352,526,450,0,0,96.89061245493957,-4733.647957585725
3625,9.070822823551472,1429,443,0,1,66.35035088949581,1557.115369941539
3729,12.074128561116385,1153,446,0,1,89.15653815541536,11453.123946242795
3604,15.664819121955244,1052,272,0,0,70.43827897762975,25674.56136438154
2597,11.585622332317218,605,483,0,0,54.924569004070676,-12585.230737068207
4060,6.691953782998654,1085,394,1,0,54.94218739984646,19482.14347072622
3693,15.588236670225823,1071,466,0,1,71.62169099912589,7860.292254169306
1795,18.67458034602955,1309,286,0,0,52.894156575809035,-33869.42624908386
2051,14.787270926092363,1133,445,0,1,78.58096206306473,2855.8400503619655
2643,16.60701122853551,1534,357,0,1,74.68248676834392,43521.90999528382
4627,10.375438034867427,1430,235,0,0,85.12675928480891,-8386.566797666082
2363,7.747973676899523,1158,435,0,0,59.28107647049144,19056.970635343478
4869,14.641604924274388,1739,447,0,1,79.64646268634178,16019.876174231367
2981,9.916568087618284,1385,299,1,0,58.7261238172727,2491.428918731199
2354,17.90110278484689,820,426,1,1,86.11168567363245,11540.688220038142
2663,6.839420749670099,959,318,1,0,65.35793291248532,14259.644861097986
2529,11.501955495996857,1078,395,1,1,80.7208101349524,9503.621933930013
3038,10.950914007025787,1376,287,0,1,94.13386300347284,8413.087652187141
4419,19.070807803308945,1253,235,1,1,74.4117063090812,7794.8472806363425
2496,7.297022009066058,659,227,1,1,59.61460549646299,13520.653678139726
4302,5.147702375180164,963,238,0,0,94.30614504599635,16419.29158159749
3237,8.571278192106764,1497,204,1,1,67.92897751158267,25125.514511957568
4296,17.304152896529818,1796,340,0,1,86.512643767355,10457.441744969863
2408,8.139827240705255,740,427,1,0,66.00478392646018,10825.310348751298
2400,8.613170955582241,1435,208,1,1,64.91077213254383,1329.7933405923359
2306,6.9484820680521615,1463,256,1,0,82.1014129656878,-4184.567376612227
3680,15.731543049148106,1458,482,0,1,57.81557176029839,4032.7817496033676
3675,6.037612857581258,1364,377,0,0,93.34869354239582,-558.210248371357
1972,9.968124534927824,1690,281,1,0,69.38119933129263,12524.849074740827
2768,9.237480899314468,1149,284,1,1,50.96387179842502,15995.292847830988
2282,13.327395946852322,826,264,0,1,65.27182368052837,7968.3294854183905
4430,15.956243975296033,1364,489,0,0,89.2483162299751,2300.994872803678
1709,12.99314652045121,1028,335,1,0,92.9679427667393,-364.65290081997045
2479,18.965389894626014,1796,449,1,1,78.39401384741889,17944.962182561925
2434,19.271639583309977,1378,293,1,1,64.70546590212723,20748.01931694548
1648,10.421979927477732,1899,247,1,1,76.39270518458073,15342.172710649786
1317,16.66520564412339,1898,299,0,1,91.8187649315845,3203.652331380129
4748,16.082020749022846,833,393,1,0,65.80189148641264,15026.389277684455
4296,18.39446887557241,1526,316,0,0,69.27184867979949,-3709.812383217939
4890,11.719154603115548,1766,466,0,0,76.98470664950221,465.7946975323848
2257,12.957097807966884,1574,363,0,0,94.35690978353307,15484.571423876383
1683,11.23661470372361,1381,486,0,1,79.10744669157324,-7934.336258273282
1663,17.755653789495582,849,223,0,0,60.38075776933266,-8522.028551773172
2998,8.445534730432016,673,295,0,1,54.4552018990705,19939.635098309664
4898,8.59563617363667,615,453,0,1,54.750697846393294,-8859.476247100223
4445,10.589076553656197,860,320,0,1,97.51247868933237,6679.154073477914
4743,8.455142481535267,1878,271,0,1,91.1206237655777,33800.48136067299
2631,13.415102546223812,575,263,1,1,88.2927345062795,14546.43064751691
2495,7.017351597432535,1255,442,0,0,74.81822895850233,-2069.9314310122063
4304,9.80279329106083,1604,326,1,0,83.62698086387937,17463.18894638935
4763,18.70167047713385,1752,238,0,0,56.3665152271237,14937.987241544688
2136,11.13838220287694,571,276,0,1,81.04478578399733,-4439.583507587942
2853,16.22350574740264,1926,204,1,0,90.53903662893899,19071.9479870532
2520,6.70193287559861,1741,339,0,1,53.10693701181259,26123.087289326704
3489,8.71346762212677,951,451,0,0,64.80752111546386,22458.491672501514
1563,17.11018431800553,1410,356,1,0,55.513933668146414,12221.148766596052
2291,16.44489404434541,866,458,1,1,63.01135180340287,14559.777504980331
4581,10.792338778907318,1325,436,0,1,88.62619359503026,1943.7601845628215
4878,19.315953530502114,1169,274,0,0,66.60245831439866,24814.703749939392
4457,18.659645237518184,1835,228,1,1,84.48419239439758,6243.279646448467
4458,19.434511236683598,1821,240,0,1,88.66512604724575,5957.302554002424
4184,11.41872035281678,1547,228,0,1,90.83193453361835,9494.31801624766
2636,7.962103755285245,609,299,0,0,93.66877217041763,1398.3395477686054
4696,14.399879586370115,551,257,1,0,79.88179060096516,-3432.9694380845303
3999,15.271597374187976,1813,410,0,0,64.03199159998123,7032.4426373474025
4152,6.8816267667578,1967,337,1,1,57.527926597779164,32650.386757327084
1698,16.79724551443859,966,210,0,1,75.1854327106636,752.1672529157058
3160,5.270903296399408,1782,388,0,1,55.177861574412184,7749.881731772224
1001,12.240925812151751,1847,293,0,1,95.53619894908508,25945.468303958805
1641,9.965243892423423,1317,380,1,1,72.12401189714869,-8867.925951659698
3267,16.10454589848626,1861,482,1,0,93.64920728552944,19284.921909435707
2589,9.691410911327239,1286,257,1,0,85.46351918194819,9565.896256104443
1854,17.402106691715492,1055,224,0,0,92.86087814159274,11048.95581746137
2759,13.924302331712159,1428,459,0,1,94.19790446272827,12004.29263324138
4296,16.90840042643108,1945,412,1,0,52.66467492061923,25909.343076765377
3432,19.840109567594357,758,314,1,0,86.26289239170819,-5158.735434865507
4474,15.187375186153352,564,387,1,0,61.32738482086363,-7193.95110774322
2661,19.774254745424663,662,459,0,1,99.4648452805945,7011.405002804018
2153,5.43254490382558,1687,335,0,1,88.9201487062983,2208.3481316810794
2076,10.072099827257126,538,289,1,0,50.188250140161195,14569.606734590583
2707,6.617798968434637,1164,420,0,0,96.37081609011017,13101.11024855723
3777,8.934573970766593,819,215,0,0,64.61529511005885,11971.939774386909
2695,17.58331848688662,859,346,1,0,70.83267998182248,-594.4203357756569
2733,5.484848979891355,768,300,0,1,80.61427894639337,9167.68052476957
2439,12.802744035985906,823,418,1,0,95.81548970221093,4614.597856208167
3294,13.506930612985595,825,244,1,1,96.36633116270303,27687.67757279386
1835,13.41726720007934,756,262,1,0,78.17358813653696,4398.618257901346
4510,12.129456107348837,699,491,1,1,65.83622479057243,1725.0359447435221
1202,16.85904447154633,1961,265,1,1,63.95949708528036,23046.816293755306
4255,7.003146342583268,1109,318,0,1,68.21985493892394,2090.4330409756312
1122,9.65865523326181,1627,433,1,0,59.02568417695054,28229.114020497553
1400,14.235890801677591,1895,207,1,1,83.4916509160048,-1490.1564055026993
1766,15.364270494019337,1404,394,0,1,76.39010256031436,25819.8044921166
1293,11.062226476655844,663,426,0,0,88.67323501349,3631.928598071691
3327,18.130568949908497,1636,226,1,0,54.705565844471636,7138.867767578265
4908,11.232400950438716,1114,489,1,1,69.9952912170084,28584.31273815911
3931,11.041642015224998,605,227,1,1,61.99314341004457,7719.020918833465
4681,5.543108922310775,1198,358,1,0,76.75931031297026,2694.336221401116
1197,13.267120042921007,863,344,0,0,73.41219918393065,3713.628867774873
4029,15.630212577678577,1544,433,1,1,72.47827255945145,18182.769059887112
2930,6.716572452752722,1159,307,1,0,65.78268159719713,10594.848005029124
4582,9.581491491318062,1652,402,1,0,86.34227872370634,10838.241397555685
3799,16.718854306742784,1198,464,1,1,74.07838521308784,6233.4480231233265
3191,10.488791531203631,1722,210,0,0,60.11218899065965,17936.677436373528
1608,8.624036930600598,1246,294,0,1,77.37237364498966,-1604.395620640711
4272,15.083009953476683,1460,329,1,0,79.83360780196969,15992.056712815436
2147,7.951381665074834,1943,302,1,0,51.068983863266624,29299.35782700358
1186,18.43479379374765,1749,472,1,0,60.188933042425674,21832.914800778253
4397,6.583975940392115,1429,309,0,0,62.12019550636412,26617.313531418982
3511,15.598247034242403,708,491,1,0,62.403758108156566,-3658.2400866877288
4420,12.493230519295627,1768,330,0,0,61.94229351800154,28325.463401660207
2794,18.048943435954904,1811,390,0,1,63.582058578345794,8276.800999903973
1659,6.892926365393549,1589,498,1,0,63.136361312741386,14606.770127684984
3811,15.168423777441317,1676,292,0,1,94.20344186618028,12491.436716586732
4002,13.580819587720722,990,488,0,0,65.98239361224776,-911.4480928986532
2955,12.201352133600697,1958,405,1,0,67.48813571831225,14375.359222260551
3450,12.371108951490026,1202,228,1,0,63.308863129157714,18953.584867492948
2369,15.829654426977962,1741,386,0,0,98.37871797712789,14651.265640807413
2986,19.06612482402233,1952,376,0,0,76.7745400117521,13207.920572153042
2534,6.3687748867857215,1001,355,0,0,80.52730571037581,28.235901360047137
1146,5.292539714157804,1165,445,1,1,86.77436310315514,9411.218447500118
4219,17.08557188721805,720,398,0,1,66.68570343946865,8291.162737200664
3911,6.62254081326139,934,308,1,0,98.43902148824094,-4290.069319899745
2734,19.800451941206358,779,271,0,1,57.61630862871688,11114.969344255465
2843,14.290223734382558,1615,420,1,0,72.89073002471721,14535.477020966975
1488,14.76299592881211,1023,480,0,1,57.27196311762168,19062.594438861037
3976,7.983375544070261,1662,413,0,1,89.51878731301916,8915.59223042242
2959,8.604684654450116,1166,274,1,0,55.365884601096646,10320.306037204331
2663,14.890254546488752,1546,441,1,1,77.69498017067914,11002.457520776978
3598,18.645902569012954,1940,349,0,0,55.24031375003328,16439.604595495322
3385,19.7358583177635,1231,377,0,0,72.6330944092355,1192.848751051636
3919,7.970464199466405,847,375,0,1,64.0153995436313,21477.148299679327
1640,7.011794340646853,1760,303,0,0,95.16483789796632,9642.333973532279
2802,5.846020366411857,1264,318,1,1,52.654789753547945,15480.539108339734
3520,18.024455272419917,1433,399,0,0,82.49688149001224,90.40521366617668
2969,9.420722702847032,682,269,1,1,84.76256164788948,-1047.725478397795
3198,5.027180508038775,1007,256,1,1,94.44910511906042,12748.240213825762
2438,8.357271290846432,697,265,1,1,93.88647281555802,2114.266382467218
4369,10.106616201491276,1646,257,1,0,98.85281433037991,4905.5415188959505
2634,19.86479254245028,880,316,1,1,62.69546771735527,6769.145493536813
1262,12.853123907856226,1324,220,1,1,63.74126880738872,-2033.5228866562302
2787,8.07070921392652,1529,278,0,0,69.86463640388075,7847.8415310529535
3191,10.022275170701766,1827,246,0,1,76.87884903182369,14523.906891383906
3393,9.954615313353177,691,370,1,1,68.35709593006393,20057.818574816043
1623,5.295886196947633,1899,283,0,0,87.01482052724344,11742.593098875499
2016,7.027745812571451,1024,307,1,1,50.42725259548266,14974.580281410052
4643,15.427946895548168,1559,486,1,1,50.8827157789093,-1161.449377066905
1880,6.803764798561019,1593,470,1,0,85.80283799154581,-1044.9047494665774
3049,8.461014149091781,788,375,0,0,94.1560611275371,15605.139746491479
3944,10.26105947606463,604,269,0,0,88.82737268660917,147.16228703628167
2327,16.366024167534405,812,365,0,1,55.85458067139206,-4888.412541594877
3301,13.736014473019097,1578,257,1,0,96.74870134659207,2662.2595702557555
4723,15.334999774828525,1630,444,0,0,76.09563092534506,5981.0020045926685
1452,13.505184881302583,806,244,1,0,87.11475760427348,13825.90650131876
4108,15.253886378328035,1320,371,1,1,60.05230988315894,-10533.5228328699
2183,5.042632304959587,535,463,0,0,77.43978154670769,31109.085004758505
4062,18.963472165571442,1656,265,1,0,66.5030401921808,12178.402660508182
3056,6.663803463122098,1386,388,1,0,98.73803867643645,3777.2474276607772
4304,11.093736439653572,1548,472,1,1,73.70980699063529,11453.651591752505
4170,16.565575553672822,1560,270,1,0,87.77884928023455,2508.932216189234
2682,11.528460770141358,1542,235,1,0,80.16159681798291,14391.002019062798
3863,19.20263827501274,534,438,0,1,54.71493743614739,-4855.630346150428
3255,12.013834227481501,1886,267,1,1,77.14638777038144,17190.399040157597
2154,18.12409108404007,1941,307,1,0,77.01079337340046,6588.404395985402
1403,17.162421700434063,1953,407,0,0,85.78546745882872,14264.338857001085
3199,19.714794541980247,966,476,0,1,66.09540083037788,21730.86360020975
