Emp_ID,Years_of_Experience,Emp_Rating,Exp_in_Company,Personal_Rating,Client_Feedback_Rating,Appraisal_Percentage,Interaction_Experience_Rating,Normalized_Personal_Rating
E00211,17,3.77,3,3.5,3.03,10.24,64.09,1.75
E00212,5,1.93,1,2.5,4.07,4.12,9.65,1.25
E00213,17,3.5,2,5.4,1.86,11.78,59.5,2.7
E00214,24,3.99,1,7.3,4.32,15.37,95.76,3.65
E00215,17,1.87,4,3.0,4.7,9.41,31.79,1.5
E00216,17,1.24,5,1.0,3.54,7.54,21.08,0.5
E00217,2,1.52,14,4.1,1.42,2.81,3.04,2.05
E00218,2,3.42,14,9.7,4.58,8.46,6.84,4.85
E00219,22,4.4,6,7.3,4.17,11.54,96.8,3.65
E00220,23,1.18,2,4.6,4.0,10.11,27.14,2.3
E00221,5,3.94,3,2.7,1.15,7.64,19.7,1.35
E00222,1,2.37,7,4.2,4.2,2.26,2.37,2.1
E00223,1,2.91,3,2.5,1.55,0.78,2.91,1.25
E00224,19,4.72,6,2.0,1.89,8.89,89.68,1.0
E00225,2,2.33,11,9.2,3.31,6.96,4.66,4.6
E00226,21,2.86,5,10.0,2.06,10.97,60.06,5.0
E00227,12,1.05,6,2.5,3.65,4.41,12.6,1.25
E00228,6,1.33,0,1.5,3.43,4.68,7.98,0.75
E00229,23,2.03,2,4.0,1.43,6.4,46.69,2.0
E00230,4,1.11,5,5.2,3.62,2.21,4.44,2.6
E00231,23,3.53,15,2.8,4.7,12.3,81.19,1.4
E00232,11,2.71,2,3.7,1.64,4.38,29.81,1.85
E00233,24,3.19,15,2.8,3.39,14.21,76.56,1.4
E00234,17,1.7,14,8.0,2.37,10.43,28.9,4.0
E00235,6,2.18,13,7.4,2.84,10.11,13.08,3.7
E00236,24,3.66,14,6.7,2.15,12.07,87.84,3.35
E00237,5,4.86,15,4.5,2.42,7.13,24.3,2.25
E00238,20,1.2,15,9.2,1.12,13.04,24.0,4.6
E00239,2,4.56,13,9.7,4.93,6.8,9.12,4.85
E00240,6,3.31,6,2.6,3.5,8.27,19.86,1.3
E00241,22,3.26,8,3.0,3.0,11.49,71.72,1.5
E00242,11,3.0,2,5.7,2.53,1.27,33.0,2.85
E00243,16,1.28,13,1.8,3.16,11.08,20.48,0.9
E00244,16,1.36,0,4.9,2.52,8.16,21.76,2.45
E00245,1,3.4,9,6.2,2.44,6.47,3.4,3.1
E00246,9,2.36,14,5.7,2.86,3.76,21.24,2.85
E00247,6,4.67,12,4.0,2.1,5.56,28.02,2.0
E00248,16,2.63,5,5.9,1.72,6.61,42.08,2.95
E00249,3,1.57,11,9.6,3.23,3.65,4.71,4.8
E00250,20,3.86,0,2.9,4.37,12.19,77.2,1.45
E00251,4,2.17,0,6.9,1.61,3.06,8.68,3.45
E00252,19,3.1,13,1.4,1.13,9.83,58.9,0.7
E00253,3,3.79,7,1.6,1.99,5.48,11.37,0.8
E00254,19,4.6,8,6.0,4.92,11.86,87.4,3.0
E00255,20,4.17,1,1.9,4.32,2.25,83.4,0.95
E00256,7,3.71,8,1.2,3.38,4.69,25.97,0.6
E00257,20,3.72,4,2.5,4.72,6.66,74.4,1.25
E00258,9,4.78,12,6.1,2.78,8.98,43.02,3.05
E00259,1,2.18,7,7.3,4.93,3.71,2.18,3.65
E00260,8,1.0,6,2.8,2.19,4.75,8.0,1.4
E00261,7,2.09,6,7.0,1.96,1.07,14.63,3.5
E00262,18,1.87,15,2.6,3.55,9.5,33.66,1.3
E00263,8,3.65,3,6.5,2.51,7.84,29.2,3.25
E00264,1,3.53,1,4.7,3.51,5.9,3.53,2.35
E00265,11,3.37,4,6.9,2.22,8.02,37.07,3.45
E00266,25,1.06,15,10.0,3.47,9.95,26.5,5.0
E00267,25,3.92,13,9.4,2.1,15.55,98.0,4.7
E00268,18,2.29,10,1.0,1.2,10.1,41.22,0.5
E00269,23,3.66,10,9.0,4.65,11.96,84.18,4.5
E00270,10,3.23,2,1.6,4.53,1.71,32.3,0.8
E00271,3,2.37,14,9.6,4.88,8.49,7.11,4.8
E00272,7,1.54,13,3.5,3.87,5.26,10.78,1.75
E00273,16,1.38,8,4.4,3.73,8.83,22.08,2.2
E00274,16,4.33,5,1.8,3.24,8.5,69.28,0.9
E00275,25,4.67,0,2.0,1.5,12.94,116.75,1.0
E00276,20,3.6,2,7.5,1.76,8.69,72.0,3.75
E00277,17,1.41,11,9.5,2.16,9.22,23.97,4.75
E00278,2,2.61,3,6.5,4.56,6.96,5.22,3.25
E00279,1,3.92,15,7.4,1.69,4.63,3.92,3.7
E00280,16,4.12,8,7.9,4.69,11.4,65.92,3.95
E00281,12,1.47,10,3.4,3.09,6.75,17.64,1.7
E00282,5,1.0,5,1.4,3.86,1.81,5.0,0.7
E00283,5,3.85,3,1.0,1.44,4.03,19.25,0.5
E00284,23,2.43,0,4.2,2.08,10.09,55.89,2.1
E00285,9,2.02,7,3.2,4.83,8.9,18.18,1.6
E00286,9,1.05,13,1.6,2.06,9.24,9.45,0.8
E00287,3,3.16,10,2.6,2.19,4.27,9.48,1.3
E00288,19,4.4,1,2.1,1.79,6.25,83.6,1.05
E00289,16,4.83,10,9.2,1.52,9.32,77.28,4.6
E00290,16,3.26,14,2.3,1.93,7.16,52.16,1.15
E00291,3,3.06,10,5.8,3.57,4.98,9.18,2.9
E00292,20,1.34,7,6.3,2.82,8.45,26.8,3.15
E00293,24,3.2,5,5.9,3.22,12.17,76.8,2.95
E00294,22,2.52,7,1.9,1.49,5.08,55.44,0.95
E00295,24,3.43,5,3.9,4.21,9.34,82.32,1.95
E00296,1,2.55,4,1.5,4.14,1.65,2.55,0.75
E00297,24,1.96,4,4.6,1.09,11.84,47.04,2.3
E00298,20,1.38,13,2.7,2.53,7.7,27.6,1.35
E00299,11,2.26,13,6.1,1.28,8.12,24.86,3.05
E00300,17,1.39,9,7.2,4.17,8.75,23.63,3.6
E00301,8,1.71,9,5.8,3.95,8.34,13.68,2.9
E00302,4,4.95,10,4.9,4.61,7.78,19.8,2.45
E00303,6,2.78,7,4.5,1.95,5.39,16.68,2.25
E00304,8,3.13,6,8.6,2.83,5.17,25.04,4.3
E00305,20,4.49,7,3.0,1.74,6.14,89.8,1.5
E00306,3,4.98,11,7.6,2.48,6.84,14.94,3.8
E00307,16,3.33,7,7.8,3.09,9.99,53.28,3.9
E00308,25,4.25,6,4.8,1.21,7.97,106.25,2.4
E00309,3,2.31,1,3.7,3.86,0.7,6.93,1.85
E00310,25,2.22,10,5.2,3.17,12.05,55.5,2.6
E00311,18,2.61,14,1.8,4.32,10.97,46.98,0.9
E00312,14,3.69,15,1.4,2.09,7.25,51.66,0.7
E00313,18,3.73,8,2.0,4.61,8.47,67.14,1.0
E00314,2,2.26,12,2.7,4.99,1.5,4.52,1.35
E00315,22,1.53,6,5.5,4.68,12.65,33.66,2.75
E00316,3,3.53,11,8.6,4.11,3.59,10.59,4.3
E00317,16,1.51,10,3.1,4.25,9.65,24.16,1.55
E00318,9,3.31,14,9.4,3.29,8.35,29.79,4.7
E00319,4,3.77,5,9.6,1.76,7.6,15.08,4.8
E00320,1,3.8,15,9.6,3.71,4.94,3.8,4.8
E00321,4,4.01,8,8.5,3.85,6.15,16.04,4.25
E00322,1,4.49,12,4.3,4.94,2.52,4.49,2.15
E00323,14,3.0,0,1.7,3.17,2.33,42.0,0.85
E00324,21,3.92,10,6.1,2.09,12.09,82.32,3.05
E00325,16,3.48,15,6.0,3.73,6.97,55.68,3.0
E00326,20,1.75,1,8.6,4.92,8.29,35.0,4.3
E00327,24,1.1,12,10.0,1.71,13.4,26.4,5.0
E00328,8,2.14,15,5.6,2.3,8.77,17.12,2.8
E00329,7,2.77,0,4.1,3.17,2.92,19.39,2.05
E00330,3,3.47,9,2.7,1.68,1.52,10.41,1.35
E00331,17,4.4,11,1.0,1.09,10.4,74.8,0.5
E00332,1,1.78,2,5.6,2.35,5.13,1.78,2.8
E00333,16,1.5,10,6.0,4.46,7.57,24.0,3.0
E00334,12,4.85,4,8.4,1.17,5.81,58.2,4.2
E00335,19,1.43,0,5.5,2.72,6.32,27.17,2.75
E00336,22,2.91,3,9.2,4.05,11.24,64.02,4.6
E00337,23,3.34,13,6.7,4.81,14.93,76.82,3.35
E00338,22,3.17,12,8.6,4.94,9.64,69.74,4.3
E00339,14,1.34,7,2.3,2.69,3.91,18.76,1.15
E00340,6,1.23,5,8.7,4.8,9.8,7.38,4.35
E00341,6,1.42,12,7.1,1.14,5.35,8.52,3.55
E00342,13,3.34,0,2.5,3.98,6.79,43.42,1.25
E00343,19,3.18,11,2.7,3.57,8.77,60.42,1.35
E00344,22,1.93,0,9.3,2.0,9.68,42.46,4.65
E00345,8,3.55,2,1.3,3.03,6.88,28.4,0.65
E00346,2,4.28,13,5.2,1.52,6.34,8.56,2.6
E00347,21,1.17,9,3.8,4.49,13.33,24.57,1.9
E00348,1,2.99,14,7.0,2.43,4.83,2.99,3.5
E00349,15,3.76,7,8.6,3.5,8.44,56.4,4.3
E00350,1,2.01,10,4.2,1.64,4.31,2.01,2.1
E00351,5,2.23,10,4.8,1.82,6.17,11.15,2.4
E00352,16,3.45,13,9.8,4.97,11.21,55.2,4.9
E00353,19,4.59,7,8.1,4.01,7.98,87.21,4.05
E00354,4,4.24,12,9.1,4.85,7.8,16.96,4.55
E00355,3,3.33,2,4.9,2.18,2.81,9.99,2.45
E00356,17,3.92,6,3.1,1.66,7.35,66.64,1.55
E00357,17,2.46,11,4.7,3.01,9.42,41.82,2.35
E00358,12,3.56,2,7.4,2.98,4.84,42.72,3.7
E00359,14,2.86,3,2.0,1.7,4.21,40.04,1.0
E00360,21,1.76,8,3.4,3.93,4.5,36.96,1.7
E00361,6,3.81,15,1.4,2.45,10.45,22.86,0.7
E00362,3,3.23,12,4.9,1.75,6.54,9.69,2.45
E00363,9,2.43,3,8.4,2.33,5.34,21.87,4.2
E00364,5,4.65,2,1.2,3.25,3.2,23.25,0.6
E00365,24,1.08,4,7.1,3.91,4.17,25.92,3.55
E00366,17,2.26,6,9.4,2.93,7.27,38.42,4.7
E00367,14,1.23,4,3.1,3.1,7.85,17.22,1.55
E00368,21,4.07,3,7.2,1.56,11.44,85.47,3.6
E00369,3,3.81,7,9.8,4.66,7.02,11.43,4.9
E00370,1,2.33,3,9.7,4.71,4.06,2.33,4.85
E00371,20,3.7,1,3.1,3.73,11.34,74.0,1.55
E00372,21,2.58,9,1.9,1.07,8.88,54.18,0.95
E00373,23,4.03,12,2.3,3.15,13.94,92.69,1.15
E00374,1,2.82,13,7.3,3.52,4.69,2.82,3.65
E00375,3,2.65,15,7.5,4.98,4.94,7.95,3.75
E00376,18,4.74,5,7.1,4.98,7.99,85.32,3.55
E00377,25,2.0,1,4.0,4.43,7.66,50.0,2.0
E00378,10,1.48,2,2.5,1.26,5.81,14.8,1.25
E00379,22,3.34,0,6.2,4.81,8.03,73.48,3.1
E00380,3,4.88,4,5.4,3.45,2.82,14.64,2.7
E00381,8,2.51,8,7.6,4.2,8.03,20.08,3.8
E00382,14,1.25,1,5.0,2.63,6.58,17.5,2.5
E00383,24,2.36,11,4.0,2.28,13.13,56.64,2.0
E00384,18,3.02,6,3.6,2.85,9.76,54.36,1.8
E00385,15,1.65,4,2.9,1.59,5.06,24.75,1.45
E00386,22,3.63,1,3.4,2.43,9.23,79.86,1.7
E00387,23,4.99,7,1.9,4.43,11.62,114.77,0.95
E00388,2,2.81,10,4.1,1.15,2.53,5.62,2.05
E00389,10,2.42,14,1.3,1.6,5.01,24.2,0.65
E00390,2,2.6,12,2.7,1.5,3.25,5.2,1.35
E00391,17,1.46,12,7.7,2.61,13.45,24.82,3.85
E00392,8,4.53,15,3.9,4.99,7.77,36.24,1.95
E00393,1,2.66,5,7.0,1.69,5.87,2.66,3.5
E00394,9,2.55,3,7.5,1.58,4.45,22.95,3.75
E00395,11,3.64,12,6.2,4.66,10.49,40.04,3.1
E00396,22,2.77,3,9.6,4.53,11.98,60.94,4.8
E00397,16,3.59,1,1.2,1.13,8.69,57.44,0.6
E00398,7,1.25,2,7.6,4.01,5.34,8.75,3.8
E00399,10,4.25,14,9.6,3.62,11.94,42.5,4.8
E00400,23,4.76,6,8.8,4.07,12.45,109.48,4.4
E00401,3,3.6,2,2.5,2.98,7.01,10.8,1.25
E00402,18,4.82,12,3.9,4.97,7.87,86.76,1.95
E00403,25,1.61,4,2.6,1.18,10.14,40.25,1.3
E00404,24,2.91,9,6.4,1.94,11.76,69.84,3.2
E00405,13,3.41,5,7.4,2.59,5.65,44.33,3.7
E00406,7,3.33,5,3.9,2.8,6.54,23.31,1.95
E00407,25,2.61,13,5.9,4.69,9.69,65.25,2.95
E00408,4,2.35,3,7.2,3.24,2.8,9.4,3.6
E00409,13,1.51,5,4.8,1.18,2.22,19.63,2.4
E00410,20,2.57,2,8.7,2.63,11.94,51.4,4.35
E00411,1,1.65,6,7.9,2.67,3.02,1.65,3.95
E00412,8,3.94,6,1.6,4.86,10.64,31.52,0.8
E00413,14,1.84,3,6.6,3.4,8.48,25.76,3.3
E00414,16,1.23,1,3.1,3.54,7.41,19.68,1.55
E00415,14,3.21,10,6.0,3.85,7.68,44.94,3.0
E00416,12,3.38,6,9.6,4.08,5.84,40.56,4.8
E00417,19,4.49,2,8.9,3.54,10.54,85.31,4.45
E00418,23,3.31,14,4.6,1.95,11.73,76.13,2.3
E00419,15,2.38,0,3.6,4.5,4.03,35.7,1.8
E00420,2,4.21,1,3.1,3.93,0.55,8.42,1.55
E00421,2,3.16,9,5.8,3.97,3.12,6.32,2.9
E00422,23,1.32,15,2.0,4.99,15.27,30.36,1.0
E00423,22,3.26,8,5.9,4.21,15.36,71.72,2.95
E00424,19,4.63,11,1.0,4.32,11.13,87.97,0.5
E00425,25,2.59,14,3.9,4.81,12.99,64.75,1.95
E00426,22,2.19,7,3.0,1.6,8.82,48.18,1.5
E00427,22,1.57,14,9.7,2.99,9.73,34.54,4.85
E00428,17,1.61,14,7.5,3.32,12.71,27.37,3.75
E00429,20,2.73,13,4.1,2.32,14.31,54.6,2.05
E00430,10,3.38,5,1.8,4.36,4.62,33.8,0.9
E00431,6,1.32,13,5.7,4.05,6.14,7.92,2.85
