ID,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Wheel,Color,Airbags
45805683,4391,0,NISSAN,Altima,1998,Sedan,0,Petrol,2.4,358400,4,Manual,Front,Left wheel,Brown,2
45791663,3700,0,ALFA ROMEO,147,2001,Coupe,1,Petrol,1.8,240000,4,Manual,Front,Left wheel,Black,4
45816588,15681,0,SUZUKI,Grand Vitara,2008,Jeep,0,Petrol,1.6,98000,4,Automatic,4x4,Left wheel,Black,12
45798451,12544,0,TOYOTA,Prius,2007,Hatchback,0,Hybrid,1.5,140000,4,Automatic,Front,Left wheel,Beige,6
45801000,21639,0,HYUNDAI,Veloster,2015,Hatchback,0,Petrol,1.6,17200,4,Tiptronic,Front,Left wheel,Red,10
44782223,36692,0,TOYOTA,RAV 4 XLE Sport,2013,Jeep,0,Petrol,2.5,120000,4,Tiptronic,Front,Left wheel,White,0
45721264,30,0,HONDA,FIT,2002,Hatchback,0,Petrol,1.5,0,4,Automatic,Front,Right-hand drive,Silver,4
45761984,3136,0,TOYOTA,Sienta,2004,Sedan,0,Petrol,1.5,300000,4,Variator,Front,Right-hand drive,Beige,4
45783494,10663,0,TOYOTA,Prius,2009,Sedan,1,Hybrid,1.8,230000,4,Variator,Front,Left wheel,Grey,6
45612423,3,0,HYUNDAI,Elantra,2011,Sedan,1,Petrol,1.8,80000,4,Tiptronic,Front,Left wheel,Grey,6
45788888,6000,0,JEEP,Grand Cherokee,1993,Jeep,0,Petrol,4,240000,6,Automatic,4x4,Left wheel,Green,5
45761379,10349,0,OPEL,Astra G,2003,Hatchback,0,Petrol,1.6,180000,4,Manual,Front,Left wheel,Silver,6
45799440,8154,0,TOYOTA,Ist,2002,Hatchback,0,Petrol,1.3,115000,4,Automatic,Front,Right-hand drive,Silver,7
45754449,5331,0,VOLKSWAGEN,Passat,2002,Sedan,1,Petrol,2.8,175000,6,Manual,Front,Left wheel,Grey,6
45315594,18189,0,NISSAN,Rogue,2010,Jeep,1,Petrol,2.5,122000,4,Automatic,4x4,Left wheel,Silver,4
45789380,5331,0,MAZDA,MPV,2000,Minivan,0,Petrol,2.5,127000,4,Automatic,Front,Left wheel,Green,4
45636297,17249,0,BMW,530,2007,Sedan,1,Petrol,3,111111,6,Tiptronic,Rear,Left wheel,Grey,10
45794250,73071,0,LEXUS,GS 350,2013,Sedan,1,Petrol,3.5,56000,6,Tiptronic,Rear,Left wheel,Black,12
32116317,50,0,TOYOTA,Aqua,2013,Sedan,0,Hybrid,1.5,130000,4,Automatic,Rear,Right-hand drive,Sky blue,0
45787608,7683,0,NISSAN,Tiida,2006,Sedan,1,CNG,1.8,200000,4,Variator,Front,Left wheel,Silver,2
45771597,22266,0,FORD,Fusion,2013,Sedan,1,Petrol,1.6 Turbo,85500,4,Automatic,Front,Left wheel,Black,8
45815469,16308,0,FORD,Transit,2008,Microbus,0,Diesel,2.2,180000,4,Manual,Front,Left wheel,White,2
45539130,17719,0,TOYOTA,Camry,2009,Sedan,1,Hybrid,2.4,92000,4,Tiptronic,Front,Left wheel,Sky blue,8
45622835,8781,0,NISSAN,Elgrand,1998,Minivan,1,Diesel,3.2 Turbo,230000,4,Automatic,4x4,Right-hand drive,White,4
45787301,21326,0,MERCEDES-BENZ,CLS 500,2006,Sedan,1,Petrol,5,2000,8,Automatic,Rear,Left wheel,Grey,12
45793323,27911,0,MERCEDES-BENZ,C 250,2014,Sedan,1,Petrol,1.8 Turbo,70000,4,Tiptronic,Rear,Left wheel,Beige,8
45782548,29793,0,MERCEDES-BENZ,S 350,2005,Sedan,1,Petrol,3.5,263000,4,Automatic,Rear,Left wheel,Black,0
45749575,30,0,NISSAN,Tiida,2006,Hatchback,0,Petrol,1.5,0,4,Automatic,Front,Right-hand drive,Red,4
45763993,4704,0,OPEL,Vectra b,2000,Hatchback,0,Diesel,2.0 Turbo,11111,4,Manual,Front,Left wheel,Red,2
45725280,7840,0,MERCEDES-BENZ,C 200,2001,Sedan,1,CNG,2,140000,4,Manual,Rear,Left wheel,Black,4
45786030,700,0,OPEL,Astra,1992,Sedan,0,Petrol,1.1,0,4,Manual,Front,Left wheel,White,2
45812786,2352,0,MAZDA,323,1998,Hatchback,0,Petrol,1.5,300000,4,Manual,Front,Left wheel,Silver,2
45787913,8467,0,HONDA,Civic,2006,Hatchback,0,Petrol,1.8,250000,4,Manual,Front,Right-hand drive,Grey,4
45798480,7840,0,MERCEDES-BENZ,CLK 320,2000,Coupe,1,Petrol,3.2,255000,6,Tiptronic,Rear,Left wheel,Silver,4
37082532,100,0,BMW,330,2007,Cabriolet,1,Petrol,3,1123,6,Tiptronic,4x4,Left wheel,Black,12
45814316,100355,0,AUDI,A7 Prestige,2016,Sedan,1,Petrol,3.0 Turbo,35000,6,Automatic,4x4,Left wheel,Black,12
45793536,12231,0,HYUNDAI,Elantra,2013,Coupe,0,Petrol,1.8,77000,6,Manual,Front,Left wheel,Beige,0
42866899,22894,0,NISSAN,Pathfinder,2010,Sedan,0,Petrol,4,109100,12,Automatic,4x4,Left wheel,Blue,12
45706976,11290,0,HONDA,FIT,2013,Sedan,0,Hybrid,1.3,145000,4,Automatic,Front,Right-hand drive,Silver,8
43353662,6586,0,BMW,318,1997,Sedan,0,LPG,1.8,270000,4,Manual,Rear,Left wheel,Green,2
45792706,14426,0,TOYOTA,Camry,2006,Sedan,1,Hybrid,2.4,188800,4,Variator,Front,Left wheel,Grey,8
45749598,27284,0,TOYOTA,Camry SE,2014,Sedan,1,Petrol,2.5,52000,4,Tiptronic,Front,Left wheel,Black,12
45815372,7840,0,MERCEDES-BENZ,E 200,1998,Sedan,0,CNG,2,180003,4,Manual,Rear,Left wheel,Black,4
45786770,13485,0,BMW,X5,2003,Jeep,1,LPG,3,189000,6,Tiptronic,4x4,Right-hand drive,Black,10
45782212,18503,0,HYUNDAI,Sonata,2012,Sedan,0,Hybrid,2,280480,4,Automatic,Front,Left wheel,Silver,9
42427923,40,0,HONDA,FIT,2002,Hatchback,0,Petrol,1.3,135000,4,Variator,Front,Right-hand drive,Black,4
45801349,5300,0,HONDA,Stream,2001,Universal,0,Petrol,2,111000,4,Automatic,Front,Right-hand drive,Black,6
45816654,18817,0,TOYOTA,Camry,2009,Sedan,1,Petrol,2.4,230400,4,Automatic,Front,Left wheel,Silver,12
45235243,24148,0,TOYOTA,Prius,2013,Hatchback,0,Hybrid,1.8,118000,4,Automatic,Front,Left wheel,Sky blue,12
45491644,25089,0,TOYOTA,Camry,2013,Sedan,1,Petrol,2.5,132800,6,Tiptronic,Rear,Left wheel,Blue,12
45537268,21012,0,MERCEDES-BENZ,Vito,2007,Minivan,0,Diesel,2.2 Turbo,285000,4,Manual,Rear,Left wheel,Red,4
45772942,5331,0,MITSUBISHI,Colt,2003,Hatchback,0,Petrol,1.3,241589,4,Variator,Front,Right-hand drive,Sky blue,5
45815556,7370,0,OPEL,Zafira,2000,Minivan,0,Petrol,1.8,260000,4,Manual,Front,Left wheel,Silver,6
45759758,4391,0,MITSUBISHI,Pajero Mini,2006,Jeep,0,Petrol,0.7,314000,3,Manual,4x4,Right-hand drive,Silver,2
45766173,11604,0,HONDA,FIT,2010,Hatchback,0,Hybrid,1.3,157000,4,Tiptronic,Front,Right-hand drive,White,2
45814787,13799,0,BMW,750,2005,Sedan,1,Petrol,4.8,240000,8,Tiptronic,Rear,Left wheel,Black,12
45761649,7840,0,MERCEDES-BENZ,E 250,1995,Sedan,0,Diesel,2.5,410918,2,Manual,Front,Left wheel,White,2
45793535,11917,0,HONDA,FIT,2011,Hatchback,0,Hybrid,1.3,188000,4,Automatic,Front,Right-hand drive,Blue,8
45806608,18817,0,TOYOTA,Prius C,2013,Hatchback,0,Hybrid,1.5,130000,4,Automatic,Front,Left wheel,Red,12
45507522,3000,0,SUBARU,Outback,2003,Goods wagon,0,Petrol,2.5,1000,6,Tiptronic,4x4,Right-hand drive,Blue,6
44840731,11917,0,TOYOTA,Camry,2007,Sedan,0,Hybrid,2.4,200000,4,Variator,Front,Left wheel,Grey,12
45815751,84675,0,MERCEDES-BENZ,GLC 300,2018,Sedan,1,Petrol,2.0 Turbo,4500,6,Tiptronic,Rear,Left wheel,Black,12
45815372,7840,0,MERCEDES-BENZ,E 200,1998,Sedan,0,CNG,2,180003,4,Manual,Rear,Left wheel,Black,4
45814766,17249,0,LINCOLN,Navigator,2004,Jeep,1,LPG,5.4,464000,8,Automatic,4x4,Left wheel,Grey,6
45782195,2800,0,BMW,325,1988,Sedan,0,Diesel,2.4,455680,6,Manual,Rear,Left wheel,Blue,4
45773548,6899,0,MERCEDES-BENZ,C 180,1997,Sedan,0,CNG,1.8,0,4,Manual,Front,Left wheel,Black,4
45801743,23521,0,TOYOTA,Corolla,2014,Sedan,0,Petrol,1.8,40000,4,Automatic,Front,Left wheel,Green,16
45816319,12544,0,SUZUKI,Jimny,2000,Jeep,0,Petrol,1.3,125000,4,Manual,4x4,Left wheel,Green,4
45786773,18817,0,TOYOTA,Prius,2011,Sedan,1,Hybrid,1.8,160000,4,Tiptronic,Front,Left wheel,Silver,12
45784866,17249,0,TOYOTA,Prius,2010,Sedan,0,Hybrid,1.8,256000,6,Automatic,Front,Left wheel,White,1
45815832,4000,0,VAZ,1111,1988,Sedan,1,Petrol,1.3,1000,4,Manual,Rear,Left wheel,Green,6
45775702,17249,0,TOYOTA,Prius,2011,Hatchback,0,Hybrid,1.8,141000,4,Automatic,Front,Left wheel,Grey,6
45263113,29166,0,FORD,Escape,2014,Jeep,1,Petrol,2.0 Turbo,127000,4,Tiptronic,4x4,Left wheel,Silver,8
45756444,79971,0,LEXUS,NX 200,2017,Jeep,1,Petrol,2.0 Turbo,35000,4,Tiptronic,Front,Left wheel,Beige,12
45775203,15681,0,GAZ,32214,1977,Limousine,0,Petrol,2.4,11111,6,Manual,Rear,Left wheel,Black,0
45810778,2500,0,RENAULT,Laguna,1995,Sedan,0,Petrol,2,32000,4,Manual,Front,Left wheel,Blue,0
45776194,19444,0,VOLKSWAGEN,Jetta,2015,Sedan,1,Petrol,1.8 Turbo,102400,4,Automatic,Front,Left wheel,Silver,8
45488069,14113,0,HONDA,Shuttle,2013,Universal,0,Hybrid,1.3,150000,4,Automatic,Front,Right-hand drive,White,4
45770530,10349,0,MERCEDES-BENZ,C 240,2002,Sedan,1,Petrol,2.4,2000,6,Tiptronic,Rear,Left wheel,Black,12
45763114,15000,0,SUBARU,Legacy,2008,Sedan,0,Petrol,3,138000,6,Tiptronic,4x4,Left wheel,Black,8
45785472,12544,0,MERCEDES-BENZ,E 320,2004,Sedan,1,Petrol,3.2,205500,6,Tiptronic,Rear,Right-hand drive,Silver,8
45793471,5600,0,BMW,318,1996,Sedan,0,Petrol,1.8,1000,4,Manual,Rear,Left wheel,Grey,2
45800564,9,0,TOYOTA,Prius,2005,Sedan,0,Hybrid,1.6,18000,1,Automatic,4x4,Left wheel,White,5
45816443,14113,0,NISSAN,Elgrand,2003,Minivan,0,LPG,3.5,155000,6,Tiptronic,4x4,Right-hand drive,Golden,4
40489113,300,0,TOYOTA,Land Cruiser Prado,2019,Jeep,1,Petrol,2.7,120,4,Automatic,4x4,Left wheel,White,10
45781983,42337,0,LEXUS,GX 470,2006,Jeep,1,CNG,4.7,180000,8,Automatic,4x4,Left wheel,Black,0
45816530,16000,0,FORD,C-MAX,2014,Hatchback,0,Hybrid,2,272000,4,Automatic,Front,Left wheel,Grey,4
45757260,5175,0,MERCEDES-BENZ,E 240,1998,Sedan,1,CNG,2.4,0,4,Automatic,Rear,Right-hand drive,Black,2
45810170,15367,0,FORD,Taurus,2014,Sedan,1,LPG,3.7,290000,6,Automatic,4x4,Left wheel,Grey,8
44271246,15994,0,HYUNDAI,Veloster,2011,Hatchback,0,Petrol,1.6,73600,4,Manual,Front,Left wheel,Carnelian red,6
45787332,21953,0,HYUNDAI,Sonata,2013,Sedan,0,Hybrid,2.4 Turbo,20000,2,Tiptronic,Front,Right-hand drive,Black,4
45792848,3300,0,RENAULT,Twingo,2001,Hatchback,0,Petrol,1.2,777,4,Manual,Front,Left wheel,Purple,4
45798590,9408,0,MITSUBISHI,Pajero,1993,Jeep,0,CNG,3,430000,6,Manual,4x4,Left wheel,Blue,0
45801997,10976,0,MERCEDES-BENZ,S 500 long,1997,Sedan,1,Petrol,5,167000,8,Automatic,Rear,Left wheel,Black,8
45781318,5000,0,BMW,318,1997,Coupe,0,Petrol,1.8,545654,4,Manual,Rear,Left wheel,Black,4
45793446,3763,0,BMW,520,1989,Sedan,0,Petrol,2,199000,6,Manual,Rear,Left wheel,White,0
45776646,10036,0,BMW,525,2000,Sedan,1,Petrol,2.5,320000,6,Tiptronic,Rear,Left wheel,Black,4
45787465,5645,0,OPEL,Vectra,1997,Universal,0,Petrol,2,200000,4,Manual,Front,Left wheel,White,4
45702752,19130,0,AUDI,A4 premium,2010,Sedan,1,Petrol,2,168000,4,Automatic,4x4,Left wheel,Silver,12
40642395,1900,0,FORD,Galaxy,2001,Minivan,0,Petrol,2.2,11111,5,Automatic,Front,Left wheel,Blue,6
45811325,12544,0,SUZUKI,Kizashi,2010,Sedan,0,Petrol,2.4,263157,4,Tiptronic,Front,Left wheel,Black,0
45767376,12858,0,TOYOTA,Prius,2008,Sedan,0,Hybrid,1.5,210452,4,Variator,Front,Left wheel,Silver,8
45792539,1800,0,VOLKSWAGEN,Golf 4,1998,Hatchback,0,Petrol,1.8,30000,4,Automatic,Front,Right-hand drive,Red,4
45815325,24775,0,FORD,Fusion,2013,Sedan,1,Petrol,1.6 Turbo,46000,4,Tiptronic,Front,Left wheel,White,8
45490926,10976,0,NISSAN,X-Trail,2004,Jeep,1,Petrol,2,121856,4,Automatic,4x4,Right-hand drive,Beige,6
45794041,20385,0,FORD,Mustang,2013,Coupe,1,Petrol,3.7,111111,6,Manual,Rear,Left wheel,Black,12
45793873,10976,0,LAND ROVER,Discovery,1995,Jeep,0,Diesel,2.5 Turbo,200000,4,Manual,4x4,Right-hand drive,Blue,0
45761908,8467,0,MERCEDES-BENZ,C 240,2001,Sedan,1,Petrol,2.6,0,6,Tiptronic,Rear,Left wheel,Silver,8
45682814,4391,0,VOLKSWAGEN,Vento,1994,Sedan,0,Diesel,1.9 Turbo,85000,4,Manual,Front,Left wheel,Black,1
45783544,7213,0,MERCEDES-BENZ,C 200 2.0,2001,Coupe,0,Petrol,2,183000,4,Tiptronic,Rear,Right-hand drive,Black,4
45776659,348,0,VOLKSWAGEN,Jetta,1999,Sedan,0,CNG,2,284000,4,Manual,Front,Left wheel,White,4
45750739,24148,0,BMW,X5,2007,Jeep,1,Petrol,4.8,210000,8,Tiptronic,4x4,Left wheel,Black,8
45196673,100,0,HYUNDAI,Sonata,2013,Sedan,1,Petrol,2.4,77000,4,Tiptronic,Front,Left wheel,White,8
45799450,18817,0,BMW,530,2005,Sedan,1,Petrol,3.0 Turbo,170000,6,Tiptronic,Rear,Left wheel,Blue,8
45796184,9408,0,BMW,325,2004,Coupe,1,Petrol,2.5,346080,6,Tiptronic,Rear,Left wheel,Black,6
45757200,11917,0,TOYOTA,Prius,2008,Sedan,0,Hybrid,1.8,200000,4,Automatic,Front,Left wheel,Grey,0
42285726,75266,0,MERCEDES-BENZ,ML 550 4.7,2012,Jeep,1,Petrol,4.7 Turbo,167000,8,Tiptronic,4x4,Left wheel,Black,10
45782069,10976,0,MERCEDES-BENZ,CLK 240,2004,Coupe,0,Petrol,2.4,89000,4,Tiptronic,Rear,Right-hand drive,Silver,10
45788373,17876,0,FORD,Fiesta,2013,Sedan,1,Petrol,1.6,160000,4,Tiptronic,Front,Left wheel,Black,4
44691279,70,0,FORD,Transit,2007,Goods wagon,0,Diesel,2.4 Turbo,350000,4,Manual,Rear,Left wheel,White,0
44035617,27911,0,MINI,Cooper,2013,Coupe,1,Petrol,1.6 Turbo,56000,4,Manual,Front,Left wheel,Silver,10
45764866,7840,0,BMW,520,2003,Sedan,1,CNG,2.5,260000,6,Tiptronic,Rear,Left wheel,Silver,8
45791030,25089,0,DODGE,Challenger,2012,Coupe,0,Petrol,3.6,112000,6,Tiptronic,Rear,Left wheel,Grey,6
45701090,10976,0,MERCEDES-BENZ,E 200,1993,Sedan,0,CNG,2,0,4,Manual,Rear,Left wheel,Black,2
45788394,7213,0,MERCEDES-BENZ,C 220,1995,Sedan,1,Petrol,2.2,444000,4,Automatic,Front,Left wheel,Black,6
45800688,22894,0,BMW,328,2010,Coupe,1,Petrol,3,157000,6,Tiptronic,4x4,Left wheel,Black,8
45776513,7840,0,MERCEDES-BENZ,C 180,2000,Sedan,0,Petrol,2,136000,4,Tiptronic,Rear,Right-hand drive,Blue,6
45815375,11917,0,LEXUS,RX 300,2002,Jeep,1,Petrol,3.0 Turbo,201000,6,Automatic,4x4,Left wheel,Silver,8
42541006,3100,0,AUDI,A4,2002,Sedan,1,Petrol,3,11111,6,Automatic,4x4,Left wheel,Blue,6
45783054,17719,0,KIA,Optima,2013,Sedan,1,Petrol,2.0 Turbo,91000,4,Automatic,Front,Left wheel,White,8
45801912,13172,0,BMW,320,2003,Sedan,0,Petrol,2.2,190000,6,Tiptronic,Rear,Left wheel,White,5
44962208,59586,0,TOYOTA,RAV 4,2017,Jeep,0,Petrol,2.5,32000,6,Automatic,Front,Left wheel,White,10
45781778,15681,0,TOYOTA,RAV 4,2002,Jeep,0,Petrol,2,140000,4,Manual,4x4,Left wheel,Silver,8
45778474,12544,0,FORD,Transit,1999,Microbus,0,Diesel,2.4,0,4,Manual,Rear,Left wheel,White,0
45777979,6800,0,BMW,525,2000,Sedan,0,CNG,2.5,157000,6,Manual,Rear,Left wheel,Blue,4
45788258,17876,0,HYUNDAI,Elantra,2013,Sedan,0,Petrol,1.6,84800,4,Tiptronic,Front,Left wheel,Silver,8
45775119,18189,0,MERCEDES-BENZ,E 350,2006,Sedan,1,Petrol,3.5,220000,6,Tiptronic,Rear,Left wheel,Silver,12
44526921,28225,0,LEXUS,RX 400 HYBRID,2008,Jeep,1,Hybrid,3.3,119000,6,Automatic,4x4,Left wheel,Blue,10
45787468,2509,0,TOYOTA,Corolla verso,2007,Minivan,0,Diesel,2.2 Turbo,112000,4,Manual,Front,Left wheel,Black,4
45700038,7213,0,MITSUBISHI,Pajero IO,1998,Jeep,0,Petrol,1.8,200000,4,Automatic,4x4,Left wheel,Silver,2
45793937,6586,0,MERCEDES-BENZ,E 200,1999,Sedan,1,Petrol,2,318406,4,Manual,Rear,Left wheel,Blue,6
45793760,15681,0,BMW,528 i,2008,Sedan,1,Petrol,3,190000,6,Tiptronic,Rear,Left wheel,Black,6
45798505,10976,0,HONDA,Odyssey,2008,Minivan,0,LPG,2.4,20000,4,Variator,Front,Right-hand drive,Grey,6
45653699,23521,0,MITSUBISHI,L 200,2010,Pickup,0,Diesel,2.4,175000,4,Manual,4x4,Left wheel,White,2
45089390,87497,0,TOYOTA,Camry,2019,Sedan,1,Petrol,2.5,25000,4,Tiptronic,Front,Left wheel,White,12
45777856,12231,0,HYUNDAI,Tucson,2008,Jeep,0,Petrol,2,270000,4,Manual,4x4,Left wheel,Black,4
45020059,7300,0,NISSAN,Teana,2004,Sedan,0,Petrol,2.3,160000,6,Automatic,Front,Right-hand drive,Silver,6
45768348,17249,0,HYUNDAI,Sonata,2011,Sedan,1,LPG,2,72000,4,Tiptronic,Front,Left wheel,Silver,0
41921968,2300,0,MAZDA,Mazda 3,2006,Hatchback,0,Petrol,1.6,11111,4,Automatic,Front,Right-hand drive,Grey,6
45776506,2500,0,OPEL,Corsa,1996,Coupe,0,Petrol,1.4,280000,4,Manual,Front,Left wheel,Blue,0
45800055,7213,0,BMW,525,1998,Sedan,0,Petrol,2.5,100000,6,Manual,Rear,Left wheel,Silver,6
45308956,17249,0,BMW,320,2005,Sedan,0,Diesel,2.0 Turbo,284000,4,Manual,Rear,Left wheel,Grey,9
45806823,14113,0,TOYOTA,Aqua,2012,Hatchback,0,Hybrid,1.5,111111,4,Automatic,Front,Right-hand drive,Green,4
