Member_number,itemDescription
1028,rolls/buns
1028,root vegetables
1028,canned beer
1028,butter
1028,baking powder
1028,sugar
1028,onions
1028,flower (seeds)
1028,bottled water
1029,dessert
1029,ham
1031,beverages
1031,other vegetables
1031,ice cream
1031,cream cheese 
1031,other vegetables
1031,pot plants
1031,berries
1032,berries
1032,yogurt
1032,ice cream
1032,soda
1032,butter
1032,white bread
1032,whipped/sour cream
1032,other vegetables
1032,root vegetables
1032,whipped/sour cream
1032,white bread
1032,cream cheese 
1032,whole milk
1032,newspapers
1032,pastry
1032,shopping bags
1033,tropical fruit
1033,chicken
1033,sausage
1033,frankfurter
1033,fruit/vegetable juice
1033,soda
1033,waffles
1033,snack products
1033,pastry
1033,dessert
1033,rolls/buns
1033,rolls/buns
1034,pip fruit
1034,bottled water
1034,tropical fruit
1034,cling film/bags
1034,domestic eggs
1034,newspapers
1034,yogurt
1034,cat food
1034,frozen meals
1035,whole milk
1035,whole milk
1035,sausage
1035,yogurt
1035,pip fruit
1035,whole milk
1035,newspapers
1035,yogurt
1035,frozen vegetables
1035,rolls/buns
1035,white wine
1035,frozen vegetables
1035,white bread
1035,salt
1036,fruit/vegetable juice
1036,vinegar
1037,frankfurter
1037,citrus fruit
1037,tropical fruit
1037,yogurt
1037,shopping bags
1037,white bread
1037,rolls/buns
1037,chewing gum
1037,cake bar
1037,canned beer
1038,other vegetables
1038,pip fruit
1038,whole milk
1038,sausage
1038,Instant food products
1038,pork
1038,margarine
1038,whipped/sour cream
1038,specialty chocolate
1038,herbs
1038,pip fruit
1038,butter
1038,butter
1038,whole milk
1038,napkins
1038,cake bar
1038,whipped/sour cream
1038,frozen meals
1038,fruit/vegetable juice
1039,salty snack
1039,rolls/buns
1040,tropical fruit
1040,chicken
1040,yogurt
1040,whole milk
1040,root vegetables
1040,onions
1040,packaged fruit/vegetables
1040,rolls/buns
1040,pasta
1040,white bread
1040,rolls/buns
1041,hamburger meat
1041,chicken
1041,tropical fruit
1041,prosecco
1041,yogurt
1041,frozen vegetables
1041,brown bread
1041,dessert
1041,candy
1041,whole milk
1042,beef
1042,citrus fruit
1042,whole milk
1042,dessert
1042,bottled water
1042,other vegetables
1043,citrus fruit
1043,tropical fruit
1043,napkins
1043,rolls/buns
1043,sliced cheese
1043,whole milk
1043,whole milk
1043,chocolate marshmallow
1044,tropical fruit
1044,root vegetables
1044,other vegetables
1044,curd
1045,chicken
1045,fruit/vegetable juice
1045,root vegetables
1045,onions
1045,specialty chocolate
1045,yogurt
1045,butter
1045,yogurt
1045,Instant food products
1046,whole milk
1046,pork
1046,pastry
1046,bottled water
1047,sweet spreads
1047,curd
1047,pip fruit
1047,butter
1047,soda
1047,soda
1048,rolls/buns
1048,rolls/buns
1048,condensed milk
1048,tropical fruit
1048,whole milk
1048,soda
1049,butter
1049,frankfurter
1049,white bread
1049,specialty bar
1049,whole milk
1049,herbs
1049,candy
1049,margarine
1050,meat
1050,UHT-milk
1050,whipped/sour cream
1050,house keeping products
1050,pasta
1050,waffles
1050,whole milk
1050,other vegetables
1050,hygiene articles
1050,yogurt
1050,yogurt
1050,beverages
1050,dishes
1050,cat food
1051,fish
1051,tropical fruit
1051,other vegetables
1051,tropical fruit
1051,other vegetables
1051,pork
1051,hamburger meat
1051,soda
1051,red/blush wine
1051,hamburger meat
1051,rolls/buns
1051,cream cheese 
1051,popcorn
1051,coffee
1051,bottled beer
1051,dishes
1051,shopping bags
1051,frozen vegetables
1051,female sanitary products
1051,shopping bags
1052,butter milk
1052,pork
1052,frankfurter
1052,other vegetables
1052,yogurt
1052,butter
1052,bottled water
1052,chicken
1052,soda
1052,soda
1052,beef
1052,root vegetables
1052,yogurt
1052,yogurt
1052,whipped/sour cream
1052,shopping bags
1052,margarine
1052,dog food
1052,chewing gum
1052,beverages
1052,hamburger meat
1052,whole milk
1052,shopping bags
1052,grapes
1052,coffee
1052,soft cheese
1052,detergent
1053,hamburger meat
1053,chicken
1053,waffles
1053,soda
1053,whole milk
1053,other vegetables
1053,pastry
1053,frozen vegetables
1053,rolls/buns
1053,soda
1053,sugar
1053,whole milk
1054,frankfurter
1054,photo/film
1054,bottled beer
1054,citrus fruit
1054,other vegetables
1054,oil
1054,margarine
1054,soda
1054,fruit/vegetable juice
1055,bottled water
1055,yogurt
1055,pork
1055,newspapers
1055,soda
1055,white wine
1056,pip fruit
1056,whipped/sour cream
1056,ham
1056,other vegetables
1056,meat spreads
1056,whole milk
1057,soda
1057,tropical fruit
1057,domestic eggs
1057,UHT-milk
1057,salty snack
1057,sliced cheese
1057,soda
1057,pickled vegetables
1058,root vegetables
1058,sausage
1058,yogurt
1058,chicken
1058,other vegetables
1058,bottled water
1058,root vegetables
1058,other vegetables
1059,sausage
1059,salty snack
1059,dessert
1059,cling film/bags
1059,spread cheese
1061,whole milk
1061,tropical fruit
1061,soda
1061,whipped/sour cream
1061,beef
1061,beverages
1061,root vegetables
1061,Instant food products
1061,fruit/vegetable juice
1061,hard cheese
1061,chocolate
1061,dessert
1061,bottled beer
1061,margarine
1062,other vegetables
1062,tropical fruit
1062,yogurt
1062,ham
1062,whole milk
1062,whole milk
1062,whole milk
1062,other vegetables
1062,butter
1062,whipped/sour cream
1062,sauces
1062,long life bakery product
1062,white bread
1062,ketchup
1062,shopping bags
1062,frozen fruits
1063,rolls/buns
1063,whole milk
1063,candy
1063,citrus fruit
1064,long life bakery product
1064,root vegetables
1064,cream cheese 
1064,root vegetables
1064,whole milk
1064,rolls/buns
1064,other vegetables
1065,frankfurter
1065,beef
1065,red/blush wine
1065,hamburger meat
1065,tropical fruit
1065,tropical fruit
1065,tropical fruit
1065,dessert
1065,frozen fish
1065,soda
1065,rolls/buns
1065,whole milk
1065,long life bakery product
1065,rum
1066,root vegetables
1066,whole milk
1066,bottled beer
1066,other vegetables
1066,oil
1066,shopping bags
1067,hamburger meat
1067,rolls/buns
1067,whole milk
1067,tropical fruit
1067,pork
1067,coffee
1067,tropical fruit
1067,chocolate
1068,pork
1068,soda
1068,spread cheese
1068,yogurt
1069,bottled beer
1069,tropical fruit
1069,brown bread
1069,pork
1069,sliced cheese
1069,dishes
1069,fruit/vegetable juice
1069,rolls/buns
1069,salt
1069,domestic eggs
1070,citrus fruit
1070,red/blush wine
1070,cream cheese 
1070,newspapers
1071,yogurt
1071,roll products 
1071,fruit/vegetable juice
1072,frankfurter
1072,ham
1072,canned beer
1072,other vegetables
1073,pip fruit
1073,finished products
1073,curd
1073,yogurt
1073,brown bread
1073,pip fruit
1073,brown bread
1073,prosecco
1073,bottled water
1073,salt
1073,dishes
1073,domestic eggs
1074,misc. beverages
1074,fruit/vegetable juice
1074,semi-finished bread
1074,instant coffee
1074,flower (seeds)
1074,ketchup
1074,oil
1074,detergent
1074,shopping bags
1074,candy
1075,frankfurter
1075,pip fruit
1075,frankfurter
1075,citrus fruit
1075,UHT-milk
1075,bottled water
1075,rolls/buns
1075,frozen meals
1075,fruit/vegetable juice
1075,canned fish
1075,dishes
1076,ham
1076,frankfurter
1076,sausage
1076,chicken
1076,sausage
1076,whole milk
1076,whole milk
1076,butter
1076,butter
1076,bottled water
1076,brown bread
1076,coffee
1076,bottled water
1077,tropical fruit
1077,rolls/buns
1077,canned beer
1077,other vegetables
1077,white bread
1077,pastry
1077,soda
1077,root vegetables
1077,rolls/buns
1077,butter
1077,brown bread
1077,pasta
1077,artif. sweetener
1077,soda
1078,frankfurter
1078,curd
1078,chicken
1078,white bread
1078,rolls/buns
1078,soda
1078,coffee
1079,rolls/buns
1079,red/blush wine
1079,onions
1079,bottled water
1079,sweet spreads
1079,napkins
1080,root vegetables
1080,frozen vegetables
1080,canned beer
1080,pet care
1080,soda
1081,coffee
1081,other vegetables
1081,specialty bar
1081,tropical fruit
1081,frankfurter
1081,tropical fruit
1081,butter milk
1081,newspapers
1081,yogurt
1081,whole milk
1081,whole milk
1081,bottled beer
1081,beverages
1081,pastry
1081,baking powder
1081,yogurt
1082,beef
1082,bottled water
1082,margarine
1082,hygiene articles
1082,other vegetables
1083,pork
1083,hamburger meat
1083,specialty chocolate
1083,sliced cheese
1083,whole milk
1083,soda
1083,bathroom cleaner
1084,pip fruit
1084,other vegetables
1085,root vegetables
1085,other vegetables
1085,citrus fruit
1085,shopping bags
1085,yogurt
1085,soda
1085,newspapers
1086,rolls/buns
1086,other vegetables
1086,beef
1086,canned beer
1086,rolls/buns
1086,ice cream
1086,citrus fruit
1086,soda
1086,curd
1086,herbs
1086,soda
1086,whipped/sour cream
1086,butter
1086,margarine
1087,sausage
1087,herbs
1087,sausage
1087,soda
1087,other vegetables
1087,ham
1087,whole milk
1087,coffee
1087,pip fruit
1087,pot plants
1087,beverages
1087,flower (seeds)
1087,whole milk
1087,white bread
1087,whole milk
1087,berries
1087,specialty chocolate
1087,chocolate
1087,cake bar
1087,white bread
1087,jam
1088,tropical fruit
1088,whole milk
1088,yogurt
1088,meat
1088,other vegetables
1088,hard cheese
1088,berries
1088,domestic eggs
1088,baking powder
1089,yogurt
1089,sauces
1090,ice cream
1090,sausage
1090,whisky
1090,beef
1090,specialty chocolate
1090,whole milk
1090,dishes
1090,yogurt
1090,yogurt
1090,napkins
1090,detergent
1090,pastry
1092,frankfurter
1092,rolls/buns
1092,photo/film
1092,root vegetables
1092,soda
1092,grapes
1092,bottled beer
1092,sausage
1092,yogurt
1092,other vegetables
1092,salty snack
1092,shopping bags
1092,specialty bar
1092,other vegetables
1092,Instant food products
1092,domestic eggs
1092,bottled water
1092,newspapers
1092,frozen vegetables
1092,bottled beer
1093,dessert
1093,domestic eggs
1094,sausage
1094,sausage
1094,tropical fruit
1094,tropical fruit
1094,pasta
1094,chocolate marshmallow
1094,hamburger meat
1094,whole milk
1094,whole milk
1094,misc. beverages
1094,soda
1094,root vegetables
1094,whole milk
1094,other vegetables
1094,detergent
1094,brown bread
1094,newspapers
1094,waffles
1094,salty snack
1094,flour
1095,packaged fruit/vegetables
1095,bottled water
1095,yogurt
1095,pickled vegetables
1095,pork
1095,domestic eggs
1095,shopping bags
1095,flour
1096,pip fruit
1096,fruit/vegetable juice
1097,tropical fruit
1097,frankfurter
1097,whole milk
1097,whipped/sour cream
1097,shopping bags
1097,sausage
1097,hard cheese
1097,soda
1097,whipped/sour cream
1097,curd
1097,curd
1097,root vegetables
1097,whole milk
1097,whole milk
1097,bottled water
1097,shopping bags
1097,cake bar
1098,tropical fruit
1098,canned beer
1098,grapes
1098,root vegetables
1098,rolls/buns
1098,citrus fruit
1098,yogurt
1098,frankfurter
1098,citrus fruit
1098,tropical fruit
1098,frozen vegetables
1098,specialty chocolate
1098,napkins
1098,other vegetables
1098,bottled water
1098,shopping bags
1098,hard cheese
1098,whole milk
1098,canned beer
1098,dessert
1098,candy
1098,cat food
1098,rolls/buns
1098,cat food
1099,spread cheese
1099,root vegetables
1099,pip fruit
1099,pork
1099,instant coffee
1099,brown bread
1100,soda
1100,hygiene articles
1100,grapes
1100,hamburger meat
1100,whole milk
1100,pudding powder
1100,butter milk
1100,butter
1100,pasta
1100,yogurt
1101,rolls/buns
1101,whole milk
1101,brown bread
1101,other vegetables
1101,processed cheese
1101,sparkling wine
1101,whipped/sour cream
1102,other vegetables
1102,yogurt
1102,root vegetables
1102,white bread
1102,beverages
1102,frozen vegetables
1102,detergent
1102,candy
1102,brown bread
1102,white wine
1103,ice cream
1103,cream
1103,chicken
1103,waffles
1103,herbs
1103,yogurt
1103,pastry
1103,hygiene articles
1103,candles
1103,tea
1104,pork
1104,yogurt
1104,domestic eggs
1104,other vegetables
1104,yogurt
1104,whole milk
1104,rolls/buns
1104,yogurt
1104,herbs
1104,root vegetables
1105,bottled water
1105,yogurt
1105,tropical fruit
1105,whole milk
1105,other vegetables
1105,white bread
1107,citrus fruit
1107,liver loaf
1107,citrus fruit
1107,chicken
1107,beef
1107,shopping bags
1107,onions
1107,misc. beverages
1107,rolls/buns
1107,misc. beverages
1107,spread cheese
1107,specialty fat
1107,rolls/buns
1107,newspapers
1107,whole milk
1107,rolls/buns
1107,shopping bags
1107,newspapers
1107,pastry
1107,semi-finished bread
1108,brown bread
1108,pastry
1108,salty snack
1108,frozen potato products
1108,whole milk
1108,canned beer
1108,pastry
1108,specialty cheese
1108,whipped/sour cream
1108,shopping bags
1108,grapes
1108,oil
1109,citrus fruit
1109,curd
1109,pip fruit
1109,pip fruit
1109,chocolate
1109,frozen vegetables
1109,sugar
1109,salty snack
1109,margarine
1109,whole milk
1109,margarine
1109,pastry
1110,whole milk
1110,pastry
1110,ham
1110,baking powder
1110,bottled water
1110,soda
1110,margarine
1110,soda
1110,butter
1110,yogurt
1110,margarine
1110,chocolate
1110,salty snack
1110,yogurt
1110,pickled vegetables
1110,curd
1110,dishes
1110,liquor
1111,beef
1111,bottled water
1111,whole milk
1111,semi-finished bread
1111,flour
1111,frozen vegetables
1111,sugar
1111,other vegetables
1111,soda
1111,UHT-milk
1111,whipped/sour cream
1112,dish cleaner
1112,ice cream
1112,jam
1112,newspapers
1113,pork
1113,bottled beer
1113,curd
1113,whole milk
1113,pudding powder
1113,specialty bar
1113,canned beer
1113,yogurt
1113,baking powder
1113,domestic eggs
1113,newspapers
1114,misc. beverages
1114,dog food
1114,chicken
1114,sausage
1114,chocolate
1114,root vegetables
1114,root vegetables
1114,UHT-milk
1114,dessert
1114,shopping bags
1114,shopping bags
1114,brown bread
1114,shopping bags
1114,citrus fruit
1114,white bread
1114,salty snack
1115,other vegetables
1115,other vegetables
1115,whipped/sour cream
1115,turkey
1115,yogurt
1115,butter
1115,yogurt
1115,root vegetables
1116,frankfurter
1116,chicken
1116,newspapers
1116,other vegetables
1116,cream cheese 
1116,white bread
1116,other vegetables
1116,brown bread
1116,other vegetables
1116,brown bread
1116,rolls/buns
1116,bottled water
1116,rolls/buns
1116,liquor
1116,root vegetables
1116,beverages
1116,zwieback
1116,butter milk
1116,napkins
1116,soda
1116,canned vegetables
1116,newspapers
1116,hard cheese
1116,soda
1117,meat
1117,whole milk
1117,whipped/sour cream
1118,whole milk
1118,ham
1118,house keeping products
1118,pip fruit
1118,bottled beer
1118,berries
1118,hair spray
1118,rolls/buns
1118,butter
1118,yogurt
1118,pickled vegetables
1118,processed cheese
1118,frozen vegetables
1118,condensed milk
1118,pastry
1118,curd
1118,canned beer
1118,sliced cheese
1119,grapes
1119,whole milk
1120,pastry
1120,meat
1120,citrus fruit
1120,soda
1120,other vegetables
1120,condensed milk
1120,UHT-milk
1120,tropical fruit
1120,rice
1120,other vegetables
1120,brown bread
1120,newspapers
1120,specialty bar
1120,tropical fruit
1120,white bread
1120,sugar
1120,chocolate marshmallow
1121,coffee
1121,shopping bags
1122,bottled water
1122,root vegetables
1122,chicken
1122,citrus fruit
1122,frozen vegetables
1122,dishes
1123,pork
1123,frozen vegetables
1123,pip fruit
1123,rolls/buns
1123,soda
1123,rolls/buns
1123,whole milk
1123,oil
1123,yogurt
1123,canned vegetables
1123,cling film/bags
1124,yogurt
1124,soda
1124,bottled beer
1124,hygiene articles
1125,popcorn
1125,sausage
1125,condensed milk
1125,root vegetables
1125,rolls/buns
1125,citrus fruit
1125,pastry
1125,shopping bags
1125,margarine
1125,margarine
1125,rolls/buns
1126,misc. beverages
1126,newspapers
1126,pork
1126,rolls/buns
1126,whole milk
1126,root vegetables
1126,napkins
1126,whipped/sour cream
1126,long life bakery product
1127,frankfurter
1127,other vegetables
1127,rolls/buns
1127,citrus fruit
1127,butter
1127,shopping bags
1127,pastry
1127,margarine
1127,soda
1127,UHT-milk
1127,soda
1127,roll products 
1128,meat
1128,frankfurter
1128,specialty bar
1128,liquor
1128,coffee
1128,white bread
1128,soda
1128,domestic eggs
1128,frozen vegetables
1128,frozen vegetables
1129,grapes
1129,whole milk
1129,tea
1129,flower (seeds)
1129,frozen meals
1129,baking powder
1129,yogurt
1129,white wine
1129,cream cheese 
1129,shopping bags
1129,flower (seeds)
1129,brown bread
1129,specialty chocolate
1130,bottled water
1130,tropical fruit
1130,frankfurter
1130,dessert
1130,cream cheese 
1130,root vegetables
1130,cream cheese 
1130,yogurt
1130,margarine
1130,softener
1130,soda
1132,other vegetables
1132,soda
1132,semi-finished bread
1132,bottled beer
1132,other vegetables
1132,whole milk
1132,rolls/buns
1132,whole milk
1132,shopping bags
1132,salty snack
1133,curd
1133,pork
1133,sausage
1133,yogurt
1133,coffee
1133,domestic eggs
1133,whole milk
1133,rolls/buns
1133,pastry
1133,shopping bags
1133,napkins
1133,rice
1133,shopping bags
1134,other vegetables
1134,cream cheese 
1134,pastry
1134,oil
1134,newspapers
1134,brown bread
1134,yogurt
1135,hard cheese
1135,whole milk
1135,sausage
1135,shopping bags
1135,butter
1135,other vegetables
1135,soda
1135,butter
1135,dessert
1135,soda
1136,herbs
1136,other vegetables
1136,tropical fruit
1136,tropical fruit
1136,tropical fruit
1136,rolls/buns
1136,root vegetables
1136,instant coffee
1136,citrus fruit
1136,citrus fruit
1136,beef
1136,butter milk
1136,whole milk
1136,other vegetables
1136,fruit/vegetable juice
1136,butter milk
1136,shopping bags
1136,flower (seeds)
1136,brown bread
1137,whole milk
1137,other vegetables
1137,nut snack
1137,other vegetables
1137,sugar
1137,canned beer
1138,whole milk
1138,rolls/buns
1138,citrus fruit
1138,root vegetables
1138,butter milk
1138,napkins
1139,tropical fruit
1139,rolls/buns
1139,tropical fruit
1139,pork
1139,misc. beverages
1139,brown bread
1139,soft cheese
1139,pickled vegetables
1139,canned beer
1140,pip fruit
1140,photo/film
1140,frankfurter
1140,other vegetables
1140,other vegetables
1140,curd
1140,cling film/bags
1140,waffles
1141,tropical fruit
1141,cat food
1141,berries
1141,rolls/buns
1141,yogurt
1141,rolls/buns
1141,white bread
1141,whole milk
1141,soda
1142,chicken
1142,other vegetables
1142,newspapers
1142,rolls/buns
1142,brown bread
1142,napkins
1142,soups
1142,soda
1143,soda
1143,misc. beverages
1143,whole milk
1143,UHT-milk
1143,pork
1143,whole milk
1143,spread cheese
1143,sugar
1143,soda
1143,soda
1143,oil
1143,pickled vegetables
1144,hard cheese
1144,meat
1144,canned beer
1144,soda
1144,chicken
1144,pork
1144,root vegetables
1144,root vegetables
1144,whole milk
1144,fish
1144,whipped/sour cream
1144,domestic eggs
1144,domestic eggs
1144,coffee
1144,white bread
1144,white bread
1145,tropical fruit
1145,brown bread
1145,root vegetables
1145,other vegetables
1145,bottled beer
1145,soda
1146,pork
1146,whole milk
1146,frozen vegetables
1146,other vegetables
1146,yogurt
1146,bottled water
1146,margarine
1146,bottled beer
1146,pip fruit
1146,berries
1146,soda
1146,shopping bags
1146,curd
1146,root vegetables
1146,candy
1146,cereals
1146,sliced cheese
1146,soft cheese
1146,yogurt
1146,waffles
1147,frozen meals
1147,soda
1147,specialty chocolate
1147,detergent
1147,whole milk
1147,canned fish
1148,soda
1148,pork
1148,yogurt
1148,sausage
1148,pork
1148,root vegetables
1148,soda
1148,whole milk
1148,other vegetables
1148,tropical fruit
1148,shopping bags
1148,white bread
1148,yogurt
1148,soda
1148,other vegetables
1148,dog food
1148,long life bakery product
1148,baking powder
1148,sliced cheese
1149,seasonal products
1149,soda
1149,bottled beer
1149,frozen vegetables
1149,chicken
1149,yogurt
1149,yogurt
1150,other vegetables
1150,canned beer
1150,pip fruit
1150,long life bakery product
1150,fruit/vegetable juice
1150,sugar
1150,berries
1150,rolls/buns
1150,UHT-milk
1150,bottled water
1151,berries
1151,curd
1151,pip fruit
1151,soft cheese
1151,pastry
1152,whole milk
1152,pork
1152,soda
1152,curd cheese
1152,rolls/buns
1152,domestic eggs
1152,frozen meals
1152,soda
1153,whole milk
1153,butter
1153,frankfurter
1153,chicken
1153,chewing gum
1153,tropical fruit
1153,grapes
1153,ice cream
1153,soft cheese
1153,cake bar
1153,whole milk
1153,rolls/buns
1153,mustard
1153,bottled beer
1153,canned beer
1153,ready soups
1153,dish cleaner
1154,root vegetables
1154,citrus fruit
1154,sausage
1154,female sanitary products
1154,other vegetables
1154,whole milk
1154,canned beer
1154,rolls/buns
1154,frozen vegetables
1155,whole milk
1155,frankfurter
1155,whole milk
1155,sausage
1155,house keeping products
1155,brandy
1155,pet care
1155,yogurt
1156,berries
1156,other vegetables
1157,tropical fruit
1157,beef
1157,UHT-milk
1157,curd
1157,napkins
1157,whole milk
1157,frozen meals
1158,yogurt
1158,whole milk
1158,rolls/buns
1158,other vegetables
1158,whole milk
1158,citrus fruit
1158,cream cheese 
1158,butter
1158,root vegetables
1158,bottled water
1158,rolls/buns
1159,citrus fruit
1159,citrus fruit
1159,frozen vegetables
1159,soda
1159,light bulbs
1159,domestic eggs
1160,butter
1160,shopping bags
1160,pip fruit
1160,domestic eggs
1160,whole milk
1160,yogurt
1160,beef
1160,chewing gum
1160,frozen meals
1160,tropical fruit
1160,coffee
1160,root vegetables
1160,whole milk
1160,bottled beer
1160,mustard
1161,other vegetables
1161,beef
1161,yogurt
1161,whole milk
1161,newspapers
1161,spread cheese
1161,bottled beer
1162,canned beer
1162,misc. beverages
1162,white bread
1162,red/blush wine
1162,canned beer
1162,citrus fruit
1162,coffee
1162,yogurt
1162,salty snack
1162,berries
1162,male cosmetics
1162,fruit/vegetable juice
1163,whole milk
1163,beef
1163,sausage
1163,white bread
1163,citrus fruit
1163,newspapers
1163,bottled water
1163,frozen vegetables
1163,bottled water
1164,other vegetables
1164,whole milk
1164,sliced cheese
1164,root vegetables
1164,canned vegetables
1165,pork
1165,curd
1165,frozen vegetables
1165,beef
1165,packaged fruit/vegetables
1165,spices
1165,whole milk
1165,house keeping products
1165,chocolate
1166,bottled water
1166,root vegetables
1166,tropical fruit
1166,brown bread
1167,coffee
1167,rolls/buns
1167,domestic eggs
1167,other vegetables
1168,bottled beer
1168,frankfurter
1168,whole milk
1168,sweet spreads
1168,UHT-milk
1168,frozen vegetables
1168,chocolate
1168,herbs
1168,long life bakery product
1169,finished products
1169,other vegetables
1169,soda
1169,liquor
1169,waffles
1169,soda
1169,newspapers
1169,rolls/buns
1169,detergent
1169,bottled water
1169,whole milk
1169,margarine
1169,napkins
1169,napkins
1169,cake bar
1169,other vegetables
1169,whipped/sour cream
1169,white bread
1169,napkins
1169,cleaner
1169,bottled beer
1170,whole milk
1170,whole milk
1170,citrus fruit
1170,chicken
1170,turkey
1170,pork
1170,dog food
1170,chocolate
1170,pip fruit
1170,whole milk
1170,sparkling wine
1170,rolls/buns
1170,whipped/sour cream
1170,pip fruit
1170,soda
1170,bottled water
1170,bottled water
1170,shopping bags
1170,whipped/sour cream
1170,canned beer
1171,bottled water
1171,specialty chocolate
1171,other vegetables
1171,soda
1171,onions
1171,beverages
1171,soda
1171,whipped/sour cream
1171,brown bread
1171,pasta
1173,hard cheese
1173,bottled beer
1173,rolls/buns
1173,rolls/buns
1173,fruit/vegetable juice
1173,margarine
1173,specialty bar
1173,rolls/buns
1173,newspapers
1174,rolls/buns
